#,Name,MLBAMID,RazzballID,FangraphsID,Team,ESPN_POS,YAHOO_POS
3810,Lars Nootbaar,663457,663457,21454,STL,OF,OF
3811,Larson Kindreich,695465,695465,sa3017505,TEX,SP,SP
3812,Lawrence Butler,671732,671732,sa3006873,OAK,OF,OF
3813,Layant Tapia,692596,692596,sa3015652,CHW,SS,SS
3814,Layne Henderson,668203,668203,sa3007718,HOU,RP,RP
3815,Laz Rivera,650528,650528,sa3004128,CHW,2B,2B
3816,Lazaro Alonso,672906,672906,sa3002722,FA,1B,1B
3817,Lazaro Armenteros,670860,670860,sa969091,OAK,OF,OF
3818,Lazaro Benitez,682844,682844,sa3008819,DET,OF,OF
3819,Lazaro Estrada,681751,681751,sa3005471,TOR,SP,SP
3820,Lazaro Leal,684708,684708,sa3008940,CHW,OF,OF
3821,Leandro Cedeno,660681,660681,sa873307,ARI,C,C
3822,Leandro Emiliani,678247,678247,sa3006897,WSH,1B,1B
3823,LeDarious Clark,621429,621429,sa875568,FA,OF,OF
3824,Lency Delgado,680894,680894,sa3006913,FA,SS,SS
3825,Lenyn Sosa,672820,672820,sa3004051,CHW,2B,2B
3826,Leobaldo Cabrera,660659,660659,sa872551,MIN,OF,OF
3827,Leodany Perez,686742,686742,sa3008956,FA,OF,OF
3828,Leody Taveras,665750,665750,18900,TEX,OF,OF
3829,Leon Biegalski,664928,664928,sa873983,FA,SP,SP
3830,Leonard Jones,695292,695292,sa3014840,SL,OF,OF
3831,Leonardo Balcazar,699114,699114,sa3015798,CIN,SS,SS
3832,Leonardo Bernal,699024,699024,sa3015773,STL,C,C
3833,Leonardo Crawford,660587,660587,sa872530,FA,SP,SP
3834,Leonardo Jimenez,677870,677870,sa3006891,TOR,SS,SS
3835,Leonardo Rivas,660844,660844,sa872542,CIN,SS,SS
3836,Leonardo Rodriguez,673164,673164,sa3003058,BAL,RP,RP
3837,Leonardo Seminati,682504,682504,sa3008298,CIN,1B,1B
3838,Leonel Espinoza,696083,696083,sa3015735,CHC,OF,OF
3839,Leonel Valera,665987,665987,sa917320,LAD,2B,2B
3840,Leonys Martin,547982,11846,11846,FA,OF,OF
3841,Leosdany Molina,702416,702416,sa3015874,HOU,SS,SS
3842,Lester Madden,683774,683774,sa3008603,OAK,OF,OF
3843,Leugim Castillo,676108,676108,sa3005128,FA,OF,OF
3844,Leury Garcia,544725,5913,5913,CHW,2B/OF,2B/SS/ 3B/OF
