#,Name,MLBAMID,RazzballID,FangraphsID,Team,ESPN_POS,YAHOO_POS
1,A.J. Alexy,669935,669935,22343,TEX,SP,SP
2,A.J. Cole,595918,11467,11467,FA,RP,RP
3,A.J. Minter,621345,621345,18655,ATL,RP,RP
4,A.J. Puckett,643494,643494,sa738686,ATL,SP,SP
5,A.J. Puk,640462,640462,19343,OAK,RP,RP
6,A.J. Ramos,573109,8350,8350,FA,RP,RP
7,Aaron Altherr,571437,11270,11270,FA,OF,OF
8,Aaron Antonini,689577,689577,sa3010906,STL,C,C
9,Aaron Ashby,676879,676879,23550,MIL,SP,SP
10,Aaron Barrett,502578,11243,11243,PHI,RP,RP
11,Aaron Blair,594760,14934,14934,FA,SP,SP
12,Aaron Bracho,677570,677570,sa3010018,CLE,2B,2B
13,Aaron Brooks,605156,12272,12272,STL,RP,RP
14,Aaron Brown,676345,676345,sa3017500,OAK,SP,SP
15,Aaron Bummer,607481,607481,16258,CHW,RP,RP
16,Aaron Civale,650644,650644,19479,CLE,SP,SP
17,Aaron Cohn,703110,703110,sa3017210,OAK,RP,RP
18,Aaron Davenport,702126,702126,sa3017615,CLE,SP,SP
19,Aaron Fletcher,667465,667465,22052,PIT,RP,RP
20,Aaron Fossas,670579,670579,sa919827,CIN,RP,RP
21,Aaron Hernandez,669443,669443,sa3008599,LAA,SP,SP
22,Aaron Hicks,543305,5297,5297,NYY,OF,OF
23,Aaron Judge,592450,15640,15640,NYY,OF,OF
24,Aaron Knapp,669235,669235,sa873277,FA,OF,OF
25,Aaron Leasher,669468,669468,sa3004701,SD,SP,SP
26,Aaron Loup,571901,10343,10343,LAA,RP,RP
27,Aaron Nola,605400,16149,16149,PHI,SP,SP
28,Aaron Northcraft,573062,573062,10218,SD,RP,RP
29,Aaron Palensky,695312,695312,sa3015077,NYY,OF,OF
30,Aaron Pinto,681259,681259,sa3006823,CLE,RP,RP
31,Aaron Rozek,702065,702065,sa3015224,MIN,SP,SP
32,Aaron Sabato,693306,693306,sa3014494,MIN,1B,1B
33,Aaron Sanchez,592717,11490,11490,WSH,SP,SP
34,Aaron Schunk,668845,668845,sa3009957,COL,3B,3B
35,Aaron Shackelford,687823,687823,sa1169950,PIT,3B,3B
36,Aaron Shortridge,663336,663336,sa3006759,PIT,SP,SP
37,Aaron Slegers,642083,642083,15231,TB,RP,RP
38,Aaron Vukovich,691021,691021,sa3014525,ARI,3B,3B
39,Aaron Whitefield,664334,664334,19938,LAA,OF,OF
40,Aaron Wilkerson,658792,16904,16904,FA,RP,RP
41,Aaron Zavala,701648,701648,sa3017665,TEX,OF,OF
42,Abdiel Layer,676075,676075,sa3007291,SF,SS,SS
43,Abdiel Mendoza,665959,665959,sa916829,TOR,SP,SP
44,Abdiel Saldana,650605,650605,sa828523,FA,SP,SP
45,Abel Bastidas,694201,694201,sa3015709,DET,SS,SS
46,Abel Noguera,683558,683558,sa3009308,TEX,C,C
47,Abelaldo Lopez,691445,691445,sa3015545,DET,OF,OF
48,Abiatal Avelino,623214,623214,15496,FA,SS,SS
49,Abiezel Ramirez,672656,672656,sa3003282,TB,SS,SS
50,Abimelec Ortiz,694673,694673,sa3016926,TEX,1B,1B
51,Abner Uribe,682842,682842,sa3008177,MIL,RP,RP
52,Abraham Almonte,501659,5486,5486,MIL,OF,OF
53,Abraham Calzadilla,682649,682649,sa3011808,ARI,SP,SP
54,Abraham Toro,647351,647351,19844,SEA,2B/3B,2B/3B
55,Abrahan Gutierrez,670868,670868,sa3004263,PIT,C,C
56,Adael Amador,691182,691182,sa3014682,COL,SS,SS
57,Adalberto Mejia,606167,13188,13188,FA,RP,RP
58,Adalberto Mondesi,609275,13769,13769,KC,SS/3B,SS/3B
59,Adam Bray,665032,665032,sa876116,FA,SP,SP
60,Adam Cimber,643256,643256,15288,TOR,RP,RP
61,Adam Conley,543045,14457,14457,FA,RP,RP
62,Adam Duvall,594807,10950,10950,ATL,OF,OF
63,Adam Eaton,594809,11205,11205,FA,OF,OF
64,Adam Engel,641553,15082,15082,CHW,OF,OF
65,Adam Frazier,624428,15223,15223,SEA,2B,2B/OF
66,Adam Hackenberg,680753,680753,sa3017041,CHW,C,C
67,Adam Hall,647228,647228,sa3005077,BAL,SS,SS
68,Adam Haseley,656514,656514,19878,CHW,OF,OF
69,Adam Hill,663597,663597,sa876313,SEA,SP,SP
70,Adam Jones,430945,6368,6368,FA,OF,OF
71,Adam Kerner,676301,676301,sa3014938,SD,C,C
72,Adam Kloffenstein,680572,680572,sa3008578,TOR,SP,SP
73,Adam Kolarek,592473,592473,10843,OAK,RP,RP
74,Adam Ladwig,607609,607609,sa602810,DET,SP,SP
75,Adam Leverett,687190,687190,sa1169991,PHI,SP,SP
76,Adam Macko,671936,671936,sa3011555,SEA,SP,SP
77,Adam McCreery,607030,607030,19550,FA,RP,RP
78,Adam McKillican,688015,688015,sa3017687,TEX,RP,RP
79,Adam Morgan,605388,12580,12580,FA,RP,RP
80,Adam Oller,670124,670124,20132,OAK,SP,SP
81,Adam Ottavino,493603,1247,1247,NYM,RP,RP
82,Adam Plutko,592644,15846,15846,FA,RP,RP
83,Adam Rosales,489267,9682,9682,FA,2B,2B
84,Adam Scott,681792,681792,sa3006826,CLE,SP,SP
85,Adam Seminaris,694372,694372,sa3015010,LAA,SP,SP
86,Adam Wainwright,425794,2233,2233,STL,SP,SP
87,Adam Warren,476589,9029,9029,NYY,RP,RP
88,Adam Wolf,663684,663684,sa3007587,DET,SP,SP
89,Adam Zebrowski,700845,700845,sa3017221,ATL,C,C
90,Adanson Cruz,677620,677620,sa3005722,STL,OF,OF
91,Adari Grant,699020,699020,sa3015771,STL,SS,SS
92,Adbert Alzolay,640470,640470,17859,CHC,SP,SP
93,Addison Barger,680718,680718,sa3006910,TOR,SS,SS
94,Addison Moss,669176,669176,sa3011780,TB,RP,RP
95,Addison Russ,676754,676754,sa3004106,NYY,RP,RP
96,Addison Russell,608365,14106,14106,FA,2B/SS,2B/SS
97,Adeiny Hechavarria,588751,10459,10459,FA,2B/3B,2B/3B
98,Ademar Rifaela,642488,642488,sa736911,FA,OF,OF
99,Adenys Bautista,681723,681723,sa3007905,BOS,RP,RP
100,Aderlin Rodriguez,573669,573669,sa511026,SD,3b,3b
101,Adley Rutschman,668939,668939,sa3011643,BAL,C,C
102,Adolis Garcia,666969,666969,19287,TEX,OF,OF
103,Adonis Cepeda,699046,699046,sa3016159,CLE,OF,OF
104,Adonis Figuereo,678732,678732,sa3005758,DET,OF,OF
105,Adonis Garcia,611177,611177,,ATL,3B,3B
106,Adonis Giron,677589,677589,sa3005719,HOU,OF,OF
107,Adonis Medina,658431,658431,19903,NYM,SP,SP
108,Adonis Rosa,650738,650738,17942,FA,RP,RP
109,Adonis Uceta,642637,642637,sa737486,FA,RP,RP
110,Adony Mejia,684093,684093,sa3008924,PHI,C,C
111,Adrian Alcantara,674220,674220,sa974592,KC,SP,SP
112,Adrian Chaidez,686585,686585,sa3017417,HOU,SP,SP
113,Adrian De Horta,641506,641506,sa737857,TB,SP,SP
114,Adrian Del Castillo,680728,680728,sa3016957,ARI,C,C
115,Adrian Florencio,684876,684876,sa3010569,PIT,SP,SP
116,Adrian Hernandez,681753,681753,sa3006177,TOR,RP,RP
117,Adrian Houser,605288,12718,12718,MIL,SP,SP
118,Adrian Martinez,661309,661309,21023,OAK,SP,SP
119,Adrian Morejon,670970,670970,20039,SD,SP,SP
120,Adrian Perez,692023,692023,sa3016106,SD,3B,3B
121,Adrian Pinto,691437,691437,sa3015542,TOR,2B,2B
122,Adrian Rondon,660632,660632,sa877519,FA,SS,SS
123,Adrian Sampson,592716,13339,13339,SEA,SP,SP
124,Adrian Sanchez,506703,506703,11338,WSH,2b,2b
125,Adrian Sugastey,692368,692368,sa3015190,SF,C,C
126,Adriel Sotolongo,699084,699084,sa3015296,TOR,3B,3B
127,Aeverson Arteaga,692348,692348,sa3014707,SF,SS,SS
128,Agustin Ruiz,672361,672361,sa3004149,SD,OF,OF
129,Ahbram Liendo,699157,699157,sa3016173,BOS,2B,2B
130,Aidan Anderson,689379,689379,sa3011250,PHI,RP,RP
131,Aiden McIntyre,681942,681942,sa3007733,OAK,RP,RP
132,Aiverson Rodriguez,682864,682864,sa3008824,COL,SS,SS
133,AJ Graffanino,664690,664690,sa3008030,BAL,SS,SS
134,AJ Pollock,572041,9256,9256,CHW,OF,OF
135,Akeem Bostick,641384,641384,15979,FA,SP,SP
136,Akil Baddoo,668731,668731,22168,DET,OF,OF
137,Alan Marrero,669909,669909,sa918102,FA,C,C
138,Alan Mejia,683013,683013,sa3008420,NYY,OF,OF
139,Alan Rangel,660604,660604,sa877578,ATL,SP,SP
140,Alan Trejo,676701,676701,20056,COL,2B,2B/SS
141,Alaska Abney,685095,685095,sa3017308,CLE,RP,RP
142,Alberis Ferrer,678910,678910,sa3005584,MIL,SS,SS
143,Albert Abreu,656061,656061,17485,TEX,RP,RP
144,Albert Almora Jr.,546991,14109,14109,CIN,OF,OF
145,Albert Avila,678909,678909,sa3006204,FA,OF,OF
146,Albert Fabian,683546,683546,sa3008888,SD,OF,OF
147,Albert Jerez,680858,680858,sa3008378,PHI,SS,SS
148,Albert Lee,663529,663529,sa3010146,HOU,SS,SS
149,Albert Pujols,405395,1177,1177,STL,1B,1B
150,Albert Rodriguez,693814,693814,sa3015687,PHI,OF,OF
151,Alberti Chavez,622482,622482,sa657456,FA,SS,SS
152,Alberto Baldonado,593604,593604,11812,WSH,RP,RP
153,Alberto Bernal,682866,682866,sa3008825,FA,1B,1B
154,Alberto Ciprian,691607,691607,sa3015567,ARI,3B,3B
155,Alberto Figuereo,678902,678902,sa3005583,TB,2B,2B
156,Alberto Mineo,600931,600931,sa660295,FA,C,C
157,Alberto Rodriguez,679754,679754,sa3005603,SEA,OF,OF
158,Alberto Triunfel,600982,600982,sa597103,FA,SS,SS
159,Alcides Escobar,444876,6310,6310,WSH,SS,2B/SS
160,Aldenis Sanchez,672479,672479,sa3003222,NYY,OF,OF
161,Aldo Ramirez,680048,680048,sa3005371,WSH,SP,SP
162,Aldrem Corredor,625506,625506,sa736852,PHI,OF,OF
163,Aldrich De Jongh,680884,680884,sa3007974,LAD,OF,OF
164,Aldrin Lucas,691492,691492,sa3015554,KC,C,C
165,Aldry Acosta,672755,672755,sa3002794,LAD,RP,RP
166,Alec Bettinger,676424,676424,20312,MIL,SP,SP
167,Alec Bohm,664761,664761,21618,PHI,3B,3B
168,Alec Burleson,676475,676475,sa3014466,STL,OF,OF
169,Alec Gamboa,687941,687941,sa3011249,LAD,SP,SP
170,Alec Gipson-Long,687830,687830,sa3011536,MIN,SP,SP
171,Alec Kisena,663988,663988,sa875686,NYM,SP,SP
172,Alec Marsh,679525,679525,sa1159950,KC,SP,SP
173,Alec Mills,621219,13834,13834,CHC,SP,SP
174,Alec Wisely,685070,685070,sa3010305,CLE,RP,RP
175,Aledmys Diaz,649557,15937,15937,HOU,3B,1B/2B/ SS/3B/OF
176,Alejandro Hidalgo,691576,691576,sa3015151,LAA,SP,SP
177,Alejandro Kirk,672386,672386,22581,TOR,C,C
178,Alejandro Requena,650518,650518,sa828724,FA,SP,SP
179,Alejandro Salazar,650362,650362,sa827937,FA,SS,SS
180,Alejo Lopez,664670,664670,21127,CIN,2B,2B
181,Alek Jacob,689690,689690,sa3017100,SD,RP,RP
182,Alek Manoah,666201,666201,26410,TOR,SP,SP
183,Alek Thomas,677950,677950,23792,ARI,OF,OF
184,Alen Hanson,593700,12926,12926,FA,2B,2B/OF
185,Alerick Soularie,669442,669442,sa3014436,MIN,2B,2B
186,Alex Avila,488671,7476,7476,FA,C,C
187,Alex Blandino,607468,16271,16271,SEA,1B,1B
188,Alex Bregman,608324,17678,17678,HOU,3B,3B
189,Alex Call,669743,669743,sa913343,CLE,OF,OF
190,Alex Claudio,592222,12890,12890,NYM,RP,RP
191,Alex Cobb,502171,6562,6562,SF,SP,SP
192,Alex Colome,517008,6661,6661,COL,RP,RP
193,Alex De Goti,621008,621008,19477,HOU,2B,2B
194,Alex De Jesus,682942,682942,sa3008842,LAD,SS,SS
195,Alex Dickerson,543105,12649,12649,ATL,OF,OF
196,Alex Erro,690622,690622,sa3010177,BOS,C,C
197,Alex Faedo,656412,656412,19874,DET,SP,SP
198,Alex FaGalde,676891,676891,sa3004602,STL,SP,SP
199,Alex Hall,673064,673064,sa3007023,MIL,C,C
200,Alex Jackson,656577,656577,17276,MIL,C,C
201,Alex Kirilloff,666135,666135,20325,MIN,1B/OF,1B/OF
202,Alex Kowalczyk,656631,656631,sa918272,FA,C,C
203,Alex Lange,656638,656638,19883,DET,RP,RP
204,Alex McKenna,665173,665173,sa3008003,HOU,OF,OF
205,Alex McRae,656725,656725,16317,FA,RP,RP
206,Alex Phillips,641974,641974,sa3008595,MIN,RP,RP
207,Alex Powers,641988,641988,sa621533,FA,RP,RP
208,Alex Reyes,621052,15015,15015,STL,RP,RP
209,Alex Santos II,691012,691012,sa3014684,HOU,SP,SP
210,Alex Speas,666208,666208,sa917945,TEX,SP,SP
211,Alex Troop,675960,675960,sa915638,WSH,RP,RP
212,Alex Valverde,663820,663820,sa3005207,NYM,SP,SP
213,Alex Verdugo,657077,657077,17027,BOS,OF,OF
214,Alex Vesia,681911,681911,25007,LAD,RP,RP
215,Alex Wilson,543935,9239,9239,FA,RP,RP
216,Alex Wood,622072,13781,13781,SF,SP,SP
217,Alex Young,622065,622065,18333,CLE,RP,RP
218,Alex Zapete,682805,682805,sa3008811,BOS,3B,3B
219,Alexander Anderson,682271,682271,sa1120125,NYY,SP,SP
220,Alexander Benua,699229,699229,sa3015817,ARI,OF,OF
221,Alexander Binelas,681323,681323,sa3017044,BOS,3B,3B
222,Alexander Canario,672744,672744,sa3003316,CHC,OF,OF
223,Alexander Destino,656369,656369,sa3004031,CHW,OF,OF
224,Alexander Eubanks,676341,676341,sa3004663,FA,SP,SP
225,Alexander Guillen,642565,642565,sa737454,FA,RP,RP
226,Alexander Hernandez,672475,672475,sa3002696,FA,SS,SS
227,Alexander Holderbach,681901,681901,sa3006789,FA,C,C
228,Alexander Isola,684576,684576,sa1170516,MIN,C,C
229,Alexander Katz,621355,621355,sa827486,FA,RP,RP
230,Alexander McGarry,685127,685127,sa3015015,CIN,1B,1B
231,Alexander Mojica,683549,683549,sa3008889,PIT,3B,3B
232,Alexander Ovalles,678900,678900,sa3005781,TB,OF,OF
233,Alexander Palma,620444,620444,sa739541,FA,OF,OF
234,Alexander Perez,691623,691623,sa3015572,MIL,SS,SS
235,Alexander Ramirez,691267,691267,sa3014695,NYM,OF,OF
236,Alexander Ramirez,682643,682643,sa3008757,NYM,OF,OF
237,Alexander Royalty,681564,681564,sa3006825,CLE,SP,SP
238,Alexander Vargas,683061,683061,sa3008851,NYY,SS,SS
239,Alexander Vargas,658744,658744,sa835895,FA,SP,SP
240,Alexander Vizcaino,669805,669805,sa920272,CHC,RP,RP
241,Alexander Wells,649144,649144,19845,BAL,RP,RP
242,Alexander Williams,675961,675961,sa3014427,TB,SS,SS
243,Alexeis Azuaje,682766,682766,sa3009286,PHI,SS,SS
244,Alexfri Planez,678413,678413,sa3005515,CLE,OF,OF
245,Alexis Diaz,664747,664747,21132,CIN,RP,RP
246,Alexis Hernandez,692562,692562,sa3015642,BOS,OF,OF
247,Alexis Pantoja,656822,656822,sa829182,FA,SS,SS
248,Alexis Rivero,640485,640485,sa735860,FA,RP,RP
249,Alexis Torres,666145,666145,sa918010,FA,2B,2B
250,Alfonso Hernandez,669799,669799,sa917812,WSH,SP,SP
251,Alfonso Rivas,663845,663845,21560,CHC,1B/OF,1B/OF
252,Alfred Gutierrez,621591,621591,sa656043,DET,SP,SP
253,Alfred Lewis,674630,674630,sa3015014,COL,C,C
254,Alfredi Jimenez,678085,678085,sa3006479,HOU,SP,SP
255,Alfredo Garcia,672865,672865,sa3003045,NYY,SP,SP
256,Alfredo Gonzalez,554054,14267,14267,FA,C,C
257,Alfredo Reyes,602112,602112,sa597093,FA,SS,SS
258,Alfredo Rodriguez,670895,670895,sa922180,WSH,SS,SS
259,Ali Sanchez,645305,645305,18551,STL,C,C
260,Alison Quintero,672355,672355,sa3004266,SD,C,C
261,Allan Berrios,668936,668936,sa3011153,WSH,C,C
262,Allan Cerda,678323,678323,sa3005504,CIN,OF,OF
263,Allan Winans,642216,642216,sa3007580,ATL,RP,RP
264,Allen Cordoba,642707,642707,,CIN,,
265,Allen Webster,543903,543903,3993,FA,RP,RP
266,Alvaro Aguero,693763,693763,sa3015679,CHW,OF,OF
267,Alvaro Gonzalez,677572,677572,sa3005715,DET,SS,SS
268,Alvaro Rubalcaba,682581,682581,sa3007882,FA,SS,SS
269,Alvaro Seijas,661099,661099,sa861440,FA,SP,SP
270,Amador Arias,672457,672457,sa3003216,SEA,SS,SS
271,Amed Rosario,642708,642708,15518,CLE,SS,SS/OF
272,Amell Brazoban,683464,683464,sa3008869,TOR,OF,OF
273,Amir Garrett,607237,14375,14375,KC,RP,RP
274,Anderdson Rojas,699232,699232,sa3015818,ARI,SS,SS
275,Anderson De Los Santos,698945,698945,sa3015747,BAL,SS,SS
276,Anderson Espinoza,659262,18593,sa872856,CHC,RP,RP
277,Anderson Miller,663402,663402,sa857824,FA,OF,OF
278,Anderson Munoz,674468,674468,sa3007840,NYY,SP,SP
279,Anderson Paulino,678255,678255,sa3007991,KC,SP,SP
280,Anderson Polanco,606198,606198,sa596949,FA,RP,RP
281,Anderson Severino,644429,644429,20582,CHW,RP,RP
282,Anderson Suriel,693798,693798,sa3015683,CHC,OF,OF
283,Anderson Tejeda,660731,660731,19909,FA,SS,SS
284,Andre Arthur,696058,696058,sa3015733,MIA,OF,OF
285,Andre Granillo,701552,701552,sa3016913,STL,RP,RP
286,Andre Jackson,656578,656578,21298,LAD,SP,SP
287,Andre Lipcius,686531,686531,sa3010401,DET,2B,2B
288,Andre Nnebe,669939,669939,sa3011588,FA,OF,OF
289,Andre Pallante,669467,669467,26108,STL,RP,RP
290,Andre Scrubb,668687,668687,20329,HOU,RP,RP
291,Andrelton Simmons,592743,10847,10847,CHC,SS,SS
292,Andres Alvarez,687019,687019,sa3010710,PIT,SS,SS
293,Andres Angulo,660437,660437,sa872806,BAL,C,C
294,Andres Centeno,699278,699278,sa3015822,MIN,OF,OF
295,Andres Chaparro,665953,665953,sa916976,NYY,3b,3b
296,Andres Gimenez,665926,665926,19950,CLE,2B/SS,2B/SS
297,Andres Guerra,662928,662928,sa873330,FA,C,C
298,Andres Machado,600921,600921,14681,WSH,RP,RP
299,Andres Melendez,678487,678487,sa3005523,CLE,C,C
300,Andres Mesa,692036,692036,sa3015598,TEX,SS,SS
301,Andres Monzon,682887,682887,sa3008833,FA,OF,OF
302,Andres Munoz,662253,662253,20373,SEA,RP,RP
303,Andres Noriega,678618,678618,sa3005533,FA,C,C
304,Andres Nunez,656804,656804,sa3006796,KC,RP,RP
305,Andres Sotillet,666005,666005,sa917861,KC,SP,SP
306,Andretty Cordero,650957,650957,sa830037,FA,3b,3b
307,Andrew Abbott,671096,671096,sa3017529,CIN,SP,SP
308,Andrew Albers,452027,7853,7853,FA,SP,SP
309,Andrew Baker,687900,687900,sa3017196,PHI,RP,RP
310,Andrew Bash,687856,687856,sa3010259,TOR,RP,RP
311,Andrew Bechtold,657510,657510,sa829787,MIN,3B,3B
312,Andrew Bellatti,571479,10657,10657,PHI,RP,RP
313,Andrew Benintendi,643217,17901,17901,KC,OF,OF
314,Andrew Brown,669153,669153,sa918255,PHI,RP,RP
315,Andrew Cashner,488768,8782,8782,FA,SP,SP
316,Andrew Chafin,605177,12988,12988,DET,RP,RP
317,Andrew Church,641455,641455,sa737545,FA,SP,SP
318,Andrew Dalquist,686643,686643,sa3011841,CHW,SP,SP
319,Andrew Daschbach,669898,669898,sa3011414,BAL,1B,1B
320,Andrew DiPiazza,656374,656374,sa3015078,COL,SP,SP
321,Andrew Gross,679863,679863,sa3010127,TB,RP,RP
322,Andrew Heaney,571760,15423,15423,LAD,SP,SP
323,Andrew Hoffmann,694851,694851,sa3017202,ATL,SP,SP
324,Andrew Istler,595995,595995,sa827457,WSH,RP,RP
325,Andrew Kittredge,552640,12828,12828,TB,RP,RP
326,Andrew Knapp,595284,14942,14942,FA,C,C
327,Andrew Knizner,668800,668800,19514,STL,C,C
328,Andrew Lee,622230,622230,sa856275,WSH,RP,RP
329,Andrew Marrero,687817,687817,sa3016941,STL,RP,RP
330,Andrew Martinez,682170,682170,sa3010691,FA,2B,2B
331,Andrew McCutchen,457705,9847,9847,MIL,OF,OF
332,Andrew McInvale,687534,687534,sa3011143,MIA,RP,RP
333,Andrew McKirahan,605374,12870,,CIN,RP,RP
334,Andrew Miller,453192,6785,6785,FA,RP,RP
335,Andrew Misiaszek,667280,667280,sa3010118,CLE,RP,RP
336,Andrew Moore,621058,621058,17553,SEA,SP,SP
337,Andrew Moritz,680938,680938,sa3007054,ATL,OF,OF
338,Andrew Navigato,685382,685382,sa3010703,DET,2B,2B
339,Andrew Painter,691725,691725,sa3017880,PHI,SP,SP
340,Andrew Parrish,669283,669283,sa3011395,KC,SP,SP
341,Andrew Perez,680970,680970,sa3006640,CHW,RP,RP
342,Andrew Politi,681555,681555,sa3007243,BOS,RP,RP
343,Andrew Pratt,687920,687920,sa3010045,WSH,C,C
344,Andrew Quezada,676768,676768,sa3009858,COL,SP,SP
345,Andrew Romine,461865,1159,1159,FA,DH,SS
346,Andrew Schultz,669697,669697,sa3010782,PHI,RP,RP
347,Andrew Shaps,656952,656952,sa3008430,LAD,OF,OF
348,Andrew Sopko,621127,621127,sa658286,FA,SP,SP
349,Andrew Stevenson,664057,664057,17932,FA,OF,OF
350,Andrew Suarez,605498,605498,18300,FA,SP,SP
351,Andrew Susac,572180,13132,13132,FA,C,C
352,Andrew Swift,669439,669439,sa3017281,OAK,SS,SS
353,Andrew Thomas,673990,673990,sa3016953,SEA,C,C
354,Andrew Triggs,592811,13533,13533,FA,RP,RP
355,Andrew Vasquez,607755,607755,19482,TOR,RP,RP
356,Andrew Vaughn,683734,683734,26197,CHW,OF,1B/OF
357,Andrew Velazquez,623205,623205,14196,LAA,SS,SS
358,Andrew Wantz,681806,681806,24933,LAA,RP,RP
359,Andrew Yerzy,647378,647378,sa917939,ARI,C,C
360,Andrew Young,670370,670370,19521,WSH,2B,2B
361,Andro Cutura,656345,656345,sa827476,FA,SP,SP
362,Andruw Monasterio,655316,655316,sa830359,MIL,SS,SS
363,Andrws Cruz,696081,696081,sa3015734,CHC,SS,SS
364,Andry Arias,678357,678357,sa3005735,WSH,OF,OF
365,Andry Lara,691251,691251,sa3014716,WSH,SP,SP
366,Andy Burns,542992,12779,12779,LAD,3B,3B
367,Andy Espinosa,695965,695965,sa3015732,LAD,3B,3B
368,Andy Ibanez,628451,628451,18819,TEX,2B/3B,1B/2B/ 3B
369,Andy Pages,681624,681624,sa3005625,LAD,OF,OF
370,Andy Perez,700321,700321,sa3015857,COL,SS,SS
371,Andy Sugilio,650443,650443,sa828414,FA,3b,3b
372,Andy Weber,681581,681581,sa3008282,CHC,SS,SS
373,Aneudis Mordan,698937,698937,sa3015741,BAL,C,C
374,Aneuris Rosario,656080,656080,sa828343,CHC,RP,RP
375,Aneurys Zabala,656008,656008,sa828514,MIA,RP,RP
376,Anfernee Grier,624505,624505,sa738988,FA,OF,OF
377,Angel Acevedo,667686,667686,sa917893,CHW,SP,SP
378,Angel Aguilar,622758,622758,sa657323,NYY,SS,SS
379,Angel Aponte,672749,672749,sa3003319,TEX,OF,OF
380,Angel Bautista,682959,682959,sa3010864,FA,2B,2B
381,Angel De Jesus,669804,669804,22323,DET,RP,RP
382,Angel Del Rosario,692489,692489,,TOR,,
383,Angel Felipe,665734,665734,sa881181,SD,RP,RP
384,Angel Genao,694197,694197,sa3015706,CLE,SS,SS
385,Angel Lopez,676698,676698,sa3004167,CLE,C,C
386,Angel Macuare,672836,672836,sa3003039,HOU,SP,SP
387,Angel Martinez,682657,682657,sa3008762,CLE,SS,SS
388,Angel Padron,660689,660689,sa873319,FA,SP,SP
389,Angel Parra,699287,699287,sa3016556,KC,OF,OF
390,Angel Perdomo,622780,622780,17759,MIL,RP,RP
391,Angel Rondon,667373,667373,22036,STL,RP,RP
392,Angel Solarte,678222,678222,sa3007037,SD,OF,OF
393,Angel Zerpa,672582,672582,22717,KC,SP,SP
394,Angelo Castellano,613546,613546,sa657521,KC,3b,3b
395,Angeudis Santos,683649,683649,sa3009794,MIA,SS,SS
396,Anibal Sanchez,434671,3284,3284,WSH,SP,SP
397,Anibal Sierra,671242,671242,sa908626,HOU,SS,SS
398,Anthony Alford,546990,14329,14329,CLE,OF,OF
399,Anthony Banda,607455,607455,14706,PIT,RP,RP
400,Anthony Bass,542914,542914,7982,MIA,RP,RP
401,Anthony Bemboom,621532,621532,13854,BAL,C,C
402,Anthony Bender,669622,669622,19742,MIA,RP,RP
403,Anthony Block,670191,670191,sa3014916,KC,SP,SP
404,Anthony Castro,621593,621593,19789,CLE,RP,RP
405,Anthony DeSclafani,543101,13050,13050,SF,SP,SP
406,Anthony Garcia,571685,11488,sa502038,NYY,OF,OF
407,Anthony Gose,543238,5097,5097,CLE,RP,RP
408,Anthony Hightower,664152,664152,sa875703,PIT,SP,SP
409,Anthony Jimenez,650854,650854,sa826672,FA,OF,OF
410,Anthony Kay,641743,641743,20387,TOR,SP,SP
411,Anthony Misiewicz,664948,664948,18152,SEA,RP,RP
412,Anthony Molina,683627,683627,sa3009727,TB,RP,RP
413,Anthony Mulrine,688226,688226,sa1170373,LAA,C,C
414,Anthony Prato,668791,668791,sa1052903,MIN,2B,2B
415,Anthony Rendon,543685,12861,12861,LAA,3B,3B
416,Anthony Rizzo,519203,3473,3473,NYY,1B,1B
417,Anthony Santander,623993,623993,14551,BAL,OF,OF
418,Anthony Seigler,678011,678011,sa3006894,NYY,C,C
419,Anthony Shew,670651,670651,sa921212,STL,SP,SP
420,Anthony Simonelli,690206,690206,sa3017312,KC,SP,SP
421,Anthony Swarzak,461872,7466,7466,FA,RP,RP
422,Anthony Tolbert,663932,663932,sa876146,FA,2B,2B
423,Anthony Valenzuela,679515,679515,sa3006581,FA,OF,OF
424,Anthony Veneziano,685107,685107,sa1115745,KC,SP,SP
425,Anthony Vizcaya,622415,622415,sa657689,NYM,RP,RP
426,Anthony Volpe,683011,683011,sa3010868,NYY,SS,SS
427,Antoine Duplantis,663858,663858,sa3011224,NYM,OF,OF
428,Antoine Kelly,681520,681520,sa3011135,MIL,SP,SP
429,Antoni Flores,677602,677602,sa3005489,BOS,SS,SS
430,Antonio Cabello,679737,679737,sa3005600,TEX,OF,OF
431,Antonio Gomez,682625,682625,sa3008746,NYY,C,C
432,Antonio Jimenez,682607,682607,sa3008074,TB,SP,SP
433,Antonio Nunez,657701,657701,,HOU,SS,SS
434,Antonio Pinero,665836,665836,sa917079,MIL,SS,SS
435,Antonio Santos,665733,665733,20383,NYM,RP,RP
436,Antonio Senzatela,622608,15488,15488,COL,SP,SP
437,Antonio Velez,669163,669163,sa3014850,BAL,SP,SP
438,Anyelo Encarnacion,699031,699031,sa3016157,STL,2B,2B
439,Anyelo Reyes,686310,686310,sa3010882,BAL,2B,2B
440,Anyesber Sivira,672716,672716,sa3003301,SF,SS,SS
441,Aramis Garcia,605244,16925,16925,CIN,C,C
442,Arbert Cipion,681832,681832,sa3008006,MIL,OF,OF
443,Archie Bradley,605151,12918,12918,LAA,RP,RP
444,Arden Pabst,641938,641938,sa858812,ATL,C,C
445,Argenis Angulo,656196,656196,sa829470,MIN,RP,RP
446,Ariel Almonte,694200,694200,sa3015708,CIN,OF,OF
447,Ariel Jurado,642558,642558,17030,FA,SP,SP
