Season,Name,Team,Level,Age,IP,ERA,G,GS,SV,BS,HLD,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,E-F,xFIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2022,"Robbie Erlin","LAD","AAA",31,28.2,5.337208710469899,7,5,0,0,,130,34,18,17,2,12,0,0,1,0,23,7.220929431812216,3.7674414426846345,1.91666667,0.6279069071141058,0.17692308,0.09230769,0.08461539,0.28813559,1.6046509848471593,0.34408602,0.64814815,4.45962606051473,0.8775826499551691,5.880679030598048,1,0.23913043,0.38043478,0.38043478,0.22857143,0.05714286,0.48421053,0.2,0.31578947,0.12055336,197,309,506,"10354"
2022,"Jake Petricka","MIN","AAA",34,8.2,5.1923057877812795,7,0,1,0,,41,9,6,5,0,4,0,2,0,0,11,11.423072733118815,4.153844630225024,2.75,0,0.26829268,0.09756098,0.1707317,0.25714286,1.4999994498034808,0.375,0.6,3.006150935810637,2.1861548519706426,3.5681441274450747,4.33333333,0.30434783,0.56521739,0.13043478,0,0,0.52173913,0.17391304,0.30434783,0.125,54,98,152,"10534"
2022,"Andrew Bellatti","PHI","AAA",30,1.1,0,2,0,0,0,,6,2,0,0,0,0,0,1,1,0,3,20.250050090377258,0,3,0,0.5,0,0.5,0.4,1.5000037103983153,1,1,1.2176836624603884,-1.2176836624603884,1.2176836624603884,0,1,0,0,0,0,0.33333333,0.66666667,0,0.2,14,21,35,"10657"
2022,"Drew Hutchison","DET","AAA",31,1.2,10.799978628200861,1,1,0,0,,8,2,2,2,1,1,0,0,0,0,2,10.799978628200861,5.399989314100431,2,5.399989314100431,0.25,0.125,0.125,0.28571429,1.799996438033477,0.25,0.625,10.66767498019177,0.132303648009092,4.8159303390023185,1.5,0,0.6,0.4,0,0.5,0.6,0,0.4,0.1,10,20,30,"10732"
2022,"Shane Greene","LAD","AAA",33,7.2,5.86956278362988,7,0,0,2,,42,13,5,5,0,4,0,0,0,0,9,10.565213010533785,4.695650226903904,2.25,0,0.21428571,0.0952381,0.11904761,0.34210526,2.2173903849268437,0.44827586,0.70588235,3.1188782163737634,2.750684567256117,6.103382354966136,0.91666667,0.14814815,0.40740741,0.44444444,0.25,0,0.4137931,0.13793103,0.44827586,0.12727273,64,101,165,"10756"
2022,"R.J. Alaniz","ATL","AAA",31,14.2,3.6818173838057553,12,0,1,0,,65,12,8,6,1,7,0,2,0,0,20,12.27272461268585,4.2954536144400475,2.85714286,0.6136362306342925,0.30769231,0.10769231,0.2,0.21428571,1.2954542646723954,0.31428571,0.66326531,3.4676892280578615,0.2141281557478938,4.352456108057091,0.75,0.2,0.34285714,0.45714286,0.0625,0.0625,0.19444444,0.36111111,0.44444444,0.10384615,93,167,260,"10819"
2022,"Michael Mariot","PHI","AAA",33,39.2,3.857142362560322,8,8,0,0,,169,36,18,17,4,15,0,5,4,0,24,5.445377453026337,3.4033609081414604,1.6,0.9075629088377228,0.14201183,0.0887574,0.05325443,0.24161074,1.2857141208534406,0.26446281,0.75396825,5.081134399324924,-1.223992036764602,6.103190894318015,0.84210526,0.15322581,0.38709677,0.45967742,0.14035088,0.07017544,0.43650794,0.21428571,0.34920635,0.08482871,246,367,613,"10835"
2022,"Asher Wojciechowski","SEA","AAA",33,22.2,9.926469196085481,6,5,0,0,,109,33,28,25,7,7,0,2,1,0,21,8.338234124711805,2.7794113749039346,3,2.7794113749039346,0.19266055,0.06422018,0.12844037,0.33,1.7647056348596413,0.36111111,0.43478261,7.2544272937577325,2.6720419023277486,6.015750482737823,0.6969697,0.28205128,0.29487179,0.42307692,0.15151515,0.21212121,0.32911392,0.29113924,0.37974684,0.10705596,149,262,411,"10836"
2022,"Adam Kolarek","OAK","AAA",33,1,0,2,0,0,0,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0.25,1,3.9014865875244142,-3.9014865875244142,3.9014865875244142,3,0,1,0,0,0,0.5,0.25,0.25,0,2,8,10,"10843"
2022,"Tim Adleman","NYM","AAA",34,5.1,5.06250301748694,4,0,0,0,,23,4,3,3,1,3,0,1,1,0,6,10.12500603497388,5.06250301748694,2,1.68750100582898,0.26086957,0.13043478,0.13043479,0.21052632,1.312500782311429,0.25,0.75757576,5.905190680921944,-0.8426876634350036,3.7721024999623136,8,0.30769231,0.61538462,0.07692308,0,1,0.61538462,0.23076923,0.15384615,0.06122449,37,61,98,"10968"
2022,"Casey Lawrence","TOR","AAA",34,35.1,2.547170177988042,6,6,0,0,,129,24,10,10,4,6,0,0,0,0,33,8.40566158736054,1.5283021067928253,5.5,1.0188680711952167,0.25581395,0.04651163,0.20930232,0.19512195,0.849056725996014,0.23255814,0.81967213,3.5808967915239966,-1.0337266135359546,3.717418798512316,1.17142857,0.14606742,0.46067416,0.39325843,0.17142857,0.11428571,0.45555556,0.26666667,0.27777778,0.11895161,171,325,496,"11121"
2022,"Grant Dayton","MIA","AAA",34,15.1,2.347826573709109,12,0,1,1,,62,10,6,4,1,5,1,0,1,0,24,14.086959442254656,2.9347832171363866,4.8,0.5869566434272773,0.38709677,0.08064516,0.30645161,0.1754386,0.9782610723787956,0.28125,0.66176471,2.1633411315528006,0.18448544215630847,3.115523081244874,0.41176471,0.27272727,0.21212121,0.51515152,0.41176471,0.05882353,0.48484848,0.12121212,0.39393939,0.13602941,87,185,272,"11203"
2022,"Aaron Barrett","PHI","AAA",34,7.1,19.63637214850172,9,0,0,0,,48,18,17,16,4,6,0,1,1,0,9,11.045459333532218,7.363639555688145,1.5,4.90909303712543,0.1875,0.125,0.0625,0.43902439,3.2727286914169533,0.5,0.41237113,10.967692479221714,8.668679669280007,6.976260397302528,0.42857143,0.35483871,0.19354839,0.4516129,0.07142857,0.28571429,0.46875,0.3125,0.21875,0.10497238,73,108,181,"11243"
