Season,Name,Team,PA,HR,SB,K%,BB%,BABIP,ISO,HR/FB,FB%,wRC+,SwStr%,O-Swing%,Swing%,Contact%,maxEV,Barrel%,playerid,seasonct,seasonid
2006,Grady Sizemore,CLE,751,28,22,20.40%,10.40%,0.339,0.243,11.70%,47.30%,132,7.80%,18.40%,43.50%,82.00%,,,2197,1,2197s1
2006,David Wright,NYM,661,26,20,17.10%,10.00%,0.344,0.22,12.40%,44.00%,132,6.90%,18.80%,44.30%,84.20%,,,3787,1,3787s1
2006,David Dellucci,PHI,301,13,1,20.60%,9.30%,0.333,0.239,14.40%,43.90%,127,11.10%,17.00%,42.20%,73.80%,,,1402,1,1402s1
2006,Pat Burrell,PHI,567,29,0,23.10%,17.30%,0.294,0.245,18.00%,48.10%,126,7.30%,14.30%,35.90%,79.50%,,,949,1,949s1
2006,Aramis Ramirez,CHC,660,38,2,9.50%,7.60%,0.27,0.269,15.20%,46.50%,125,7.50%,25.40%,48.20%,84.30%,,,1002,1,1002s1
2006,Greg Norton,TBD,335,17,1,20.60%,10.40%,0.333,0.224,17.90%,42.00%,132,10.80%,17.70%,46.60%,76.60%,,,1388,1,1388s1
2006,Adam LaRoche,ATL,557,32,0,23.00%,9.90%,0.319,0.276,21.20%,40.90%,129,10.70%,23.40%,46.60%,76.80%,,,1904,1,1904s1
2006,Hideki Matsui,NYY,201,8,1,11.40%,13.40%,0.308,0.192,12.10%,43.70%,130,4.70%,10.70%,38.40%,87.80%,,,1659,1,1659s1
2006,J.D. Drew,LAD,594,20,2,17.80%,15.00%,0.321,0.215,14.10%,36.00%,130,7.80%,15.20%,39.80%,80.20%,,,1152,1,1152s1
2006,Vernon Wells,TOR,677,32,17,13.30%,8.00%,0.307,0.239,15.00%,40.20%,128,8.20%,27.30%,50.00%,83.50%,,,1326,1,1326s1
2006,David Ross,CIN,296,21,0,25.30%,12.50%,0.269,0.324,23.90%,50.90%,125,13.50%,22.70%,48.70%,71.70%,,,1551,1,1551s1
2006,Ryan Church,WSN,230,10,6,26.10%,11.30%,0.344,0.25,16.90%,43.10%,131,13.70%,26.60%,45.70%,70.00%,,,2106,1,2106s1
2006,Brad Hawpe,COL,575,22,5,21.40%,12.90%,0.348,0.222,16.20%,36.00%,118,12.10%,21.70%,47.20%,74.00%,,,1885,1,1885s1
2006,Chris Coste,PHI,213,7,0,14.60%,4.70%,0.363,0.177,13.50%,31.10%,125,11.30%,33.20%,51.80%,78.00%,,,7243,1,7243s1
2006,Juan Rivera,LAA,494,23,0,11.90%,6.70%,0.312,0.214,17.70%,32.90%,129,7.60%,24.90%,48.80%,84.40%,,,843,1,843s1
2006,Ray Durham,SFG,555,26,7,11.00%,9.20%,0.291,0.245,15.90%,37.50%,126,5.40%,22.90%,46.00%,88.10%,,,230,1,230s1
2006,Robinson Cano,NYY,508,15,5,10.60%,3.50%,0.359,0.183,12.30%,28.20%,128,6.90%,30.50%,53.90%,87.10%,,,3269,1,3269s1
2006,Reed Johnson,TOR,517,12,8,15.70%,6.40%,0.366,0.161,9.80%,33.00%,126,7.60%,30.70%,47.00%,83.70%,,,1702,1,1702s1
