idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
21454-AAA-STL,Lars Nootbaar,STL,24,AAA,10,5.625,0.1,1.125,0.2,2.225,0.25,0.5,0.6,1.625,3,3,0,0,1.0,-0.25,0.25,14,2022-06-03
sa3014821-A+-TOR,Zach Britton,TOR,23,A+,16,3.077,0.125,0.769,0.125,1.933,0.5,0.538,0.625,1.308,4,3,0,0,0.375,0.375,0.125,14,2022-06-03
22871-AA-PIT,Tucupita Marcano,PIT,22,AA,20,1.875,0.1,0.375,0.2,1.7,0.692,0.625,0.7,1.0,4,1,0,0,0.385,0.231,0.308,14,2022-06-03
sa3010399-A+-PIT,Matt Gorski,PIT,24,A+,12,1.364,0.333,0.909,0.083,1.689,0.25,0.364,0.417,1.273,4,3,0,0,0.25,0.25,0.75,14,2022-06-03
sa3007078-AAA-TBR,Jordan Qsar,TBR,26,AAA,20,1.806,0.2,0.722,0.1,1.667,0.455,0.444,0.5,1.167,6,3,1,1,0.273,0.273,0.455,14,2022-06-03
sa3010336-A-COL,Trevor Boone,COL,24,A,25,1.875,0.2,0.75,0.2,1.58,0.273,0.35,0.48,1.1,6,4,1,0,0.636,0.182,0.182,14,2022-06-03
15535-AAA-SEA,Joseph Odom,SEA,30,AAA,14,1.077,0.286,0.615,0.071,1.577,0.571,0.462,0.5,1.077,4,2,0,0,0.143,0.571,0.143,14,2022-06-03
sa3010689-AA-DET,Kerry Carpenter,DET,24,AA,54,1.388,0.222,0.617,0.074,1.503,0.407,0.404,0.481,1.021,13,8,0,0,0.63,0.111,0.296,14,2022-06-03
sa917068-A+-COL,Daniel Montano,COL,23,A+,31,1.116,0.161,0.36,0.194,1.493,0.632,0.52,0.613,0.88,6,1,0,0,0.158,0.368,0.421,14,2022-06-03
11746-AAA-LAD,Stefen Romero,LAD,33,AAA,17,2.391,0.118,0.562,0.059,1.471,0.417,0.438,0.471,1.0,5,2,0,0,0.417,0.583,0.167,14,2022-06-03
19667-AAA-TEX,Zach Reks,TEX,28,AAA,32,1.071,0.25,0.536,0.125,1.464,0.5,0.429,0.5,0.964,7,4,0,0,0.375,0.312,0.312,14,2022-06-03
sa3017662-A-ARI,Jordan Lawlar,ARI,19,A,12,0.682,0.333,0.455,0.083,1.409,0.667,0.455,0.5,0.909,2,1,0,0,0.167,0.333,0.5,14,2022-06-03
sa3002703-A+-ARI,Jose Curpa,ARI,22,A+,11,2.5,0.091,0.455,0.0,1.364,0.444,0.455,0.455,0.909,2,1,0,0,0.111,0.444,0.222,14,2022-06-03
sa3015192-A-STL,Jake Burns,STL,19,A,12,0.5,0.333,0.333,0.167,1.361,0.8,0.444,0.583,0.778,3,0,0,0,0.6,0.2,0.2,14,2022-06-03
sa3017293-AA-OAK,Brett Harris,OAK,24,AA,27,4.696,0.037,0.348,0.111,1.345,0.476,0.478,0.519,0.826,6,1,0,0,0.381,0.381,0.286,14,2022-06-03
sa3005478-A+-MIL,Carlos Rodriguez,MIL,21,A+,36,1.828,0.111,0.406,0.083,1.344,0.462,0.438,0.5,0.844,8,2,1,2,0.308,0.5,0.154,14,2022-06-03
sa917288-AA-HOU,Enmanuel Valdez,HOU,23,AA,58,0.746,0.276,0.412,0.121,1.343,0.567,0.431,0.5,0.843,11,5,2,0,0.467,0.2,0.4,14,2022-06-03
sa3009794-A-MIA,Angeudis Santos,MIA,20,A,13,1.182,0.077,0.182,0.154,1.343,0.6,0.545,0.615,0.727,2,0,2,0,0.2,0.3,0.5,14,2022-06-03
