bbpct,kpct,bbperk,avg,obp,slg,ops,iso,babip,wsb,wrc,wraa,woba,wrcplus,gbperfb,ldpct,gbpct,fbpct,iffbpct,hrperfb,pullpct,centpct,oppopct,swstrpct,playerid,playeridlevel,date,playeridunique
0.08571429,0.19047619,0.45,0.27083333,0.33333333,0.38541667,0.71875,0.11458334,0.33333333,-0.0130337178707122,13.076190998458376,-0.7329915709261986,0.3246617538588388,94.6919988403132,2.15789474,0.18918919,0.55405405,0.25675676,0.10526316,0.05263158,0.39473684,0.27631579,0.32894737,0.11734694,11338,11338-AAA,2022-06-18,11338-AAA-2022-06-18-WSN
0.20245399,0.25766871,0.78571429,0.26829268,0.42944785,0.33333333,0.76278118,0.06504065,0.38554217,-0.2846115380525589,26.14993382446847,4.712821835804795,0.3670928555032227,121.98440647367526,1.09677419,0.20731707,0.41463415,0.37804878,0.16129032,0.03225806,0.39285714,0.22619048,0.38095238,0.09552239,11379,11379-AAA,2022-06-18,11379-AAA-2022-06-18-ATL
0.07894737,0.05263158,1.5,0.17142857,0.23684211,0.2,0.43684211,0.02857143,0.18181818,-0.065548837184906,1.0532043520784926,-3.94440457779402,0.2102091986882059,21.074165002849863,1.41666667,0.12121212,0.51515152,0.36363636,0.33333333,0.0,0.36363636,0.36363636,0.27272727,0.05263158,11400,11400-AAA,2022-06-18,11400-AAA-2022-06-18-PHI
0.13138686,0.27007299,0.48648649,0.21367521,0.32116788,0.27350427,0.59467215,0.05982906,0.30864198,-0.1602561650797724,11.998456099611689,-8.224268203991485,0.2857766077466254,59.33155157277138,1.95454545,0.19753086,0.5308642,0.27160494,0.09090909,0.0,0.34567901,0.28395062,0.37037037,0.08037383,11470,11470-AAA,2022-06-18,11470-AAA-2022-06-18-LAD
0.13469388,0.11020408,1.22222222,0.29665072,0.4,0.35885167,0.75885167,0.06220095,0.33701657,0.1670827940106392,37.00711531146585,4.785689316235183,0.3560049959591457,114.85250627003144,1.73076923,0.21111111,0.5,0.28888889,0.15384615,0.01923077,0.40659341,0.28021978,0.31318681,0.05452563,11472,11472-AAA,2022-06-18,11472-AAA-2022-06-18-CHC
0.0,0.25,0.0,0.36842105,0.4,0.47368421,0.87368421,0.10526316,0.5,-0.0478753019124269,3.621780522600986,1.2695303042095674,0.4061610013246536,153.97088686754307,0.83333333,0.21428571,0.35714286,0.42857143,0.33333333,0.0,0.35714286,0.28571429,0.35714286,0.12359551,11476,11476-A,2022-06-18,11476-A-2022-06-18-PHI
0.0,0.07692308,0.0,0.15384615,0.15384615,0.23076923,0.38461538,0.07692308,0.16666667,-0.0081936046481132,-0.1131091189132188,-1.8228174370274997,0.1671601808988131,-6.615696824705883,1.5,0.16666667,0.5,0.33333333,0.25,0.0,0.5,0.08333333,0.41666667,0.02272727,11476,11476-AAA,2022-06-18,11476-AAA-2022-06-18-PHI
0.11111111,0.22222222,0.5,0.25,0.33333333,0.25,0.58333333,0.0,0.33333333,-0.0245808139443397,0.8014607859758267,-0.3821834342571369,0.2827152477370368,67.71129130492302,2.0,0.0,0.66666667,0.33333333,0.5,0.0,0.33333333,0.0,0.66666667,0.15625,11489,11489-AAA,2022-06-18,11489-AAA-2022-06-18-KCR
0.17154812,0.23849372,0.71929825,0.25773196,0.38912134,0.42783505,0.81695639,0.17010309,0.32575758,-0.2745571509003639,38.99693991525559,7.5646100668468925,0.3703296002483767,124.06633585015608,0.75862069,0.25547445,0.32116788,0.42335766,0.22413793,0.12068966,0.36879433,0.29787234,0.33333333,0.10436433,11602,11602-AAA,2022-06-18,11602-AAA-2022-06-18-BOS
0.06185567,0.19587629,0.31578947,0.28235294,0.34375,0.48235294,0.82610294,0.2,0.32307692,0.1072201179340481,14.70693461219616,0.3886553607399003,0.3550966375817855,102.7143999213479,1.16,0.18181818,0.43939394,0.37878788,0.2,0.12,0.48529412,0.13235294,0.38235294,0.136,11746,11746-AAA,2022-06-18,11746-AAA-2022-06-18-LAD
