idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
sa3004068-AA-CLE,Chris Roller,CLE,25,AA,19,1.056,0.158,0.333,0.105,1.088,0.364,0.333,0.421,0.667,3,1,1,1,0.273,0.273,0.364,18,2022-06-01
sa3010269-AA-PIT,Blake Sabol,PIT,24,AA,52,1.006,0.154,0.31,0.173,1.085,0.333,0.333,0.442,0.643,6,3,1,1,0.303,0.515,0.152,18,2022-06-01
sa3014827-AA-NYY,Elijah Dunham,NYY,24,AA,61,1.505,0.115,0.345,0.066,1.084,0.326,0.345,0.393,0.691,10,4,4,0,0.522,0.304,0.174,18,2022-06-01
26288-AA-BAL,Adley Rutschman,BAL,24,AA,14,1.167,0.071,0.167,0.143,1.083,0.455,0.417,0.5,0.583,2,0,0,0,0.182,0.364,0.455,18,2022-06-01
sa3006872-AA-CLE,George Valera,CLE,21,AA,59,1.153,0.153,0.352,0.085,1.075,0.325,0.333,0.39,0.685,9,5,2,0,0.45,0.4,0.175,18,2022-06-01
sa3009957-AA-COL,Aaron Schunk,COL,24,AA,63,1.539,0.095,0.293,0.048,1.069,0.37,0.379,0.397,0.672,13,2,0,1,0.407,0.389,0.185,18,2022-06-01
sa917074-AA-BOS,Pedro Castellanos,BOS,24,AA,57,0.967,0.175,0.339,0.0,1.065,0.366,0.357,0.368,0.696,9,5,0,0,0.512,0.341,0.171,18,2022-06-01
sa3011484-AA-BAL,Gunnar Henderson,BAL,21,AA,59,1.204,0.153,0.367,0.153,1.06,0.297,0.286,0.407,0.653,10,3,1,0,0.324,0.405,0.27,18,2022-06-01
sa3014506-AA-STL,Masyn Winn,STL,20,AA,30,1.154,0.167,0.385,0.1,1.059,0.286,0.308,0.367,0.692,6,2,1,0,0.19,0.476,0.333,18,2022-06-01
sa917030-AA-SDP,Esteury Ruiz,SDP,23,AA,67,0.863,0.179,0.309,0.09,1.058,0.364,0.345,0.403,0.655,10,3,11,3,0.386,0.341,0.273,18,2022-06-01
sa3003197-AA-TEX,David Garcia,TEX,22,AA,31,1.148,0.161,0.37,0.129,1.054,0.263,0.296,0.387,0.667,4,3,0,0,0.368,0.474,0.105,18,2022-06-01
sa857823-AA-LAA,Preston Palmeiro,LAA,27,AA,60,0.942,0.15,0.283,0.233,1.054,0.324,0.304,0.467,0.587,7,3,0,0,0.5,0.265,0.235,18,2022-06-01
sa3005607-AA-TEX,J.P. Martinez,TEX,26,AA,49,0.724,0.224,0.325,0.163,1.054,0.346,0.3,0.429,0.625,6,3,4,2,0.346,0.308,0.308,18,2022-06-01
19956-AA-PHI,Mickey Moniak,PHI,24,AA,25,0.543,0.24,0.261,0.04,1.052,0.444,0.391,0.4,0.652,3,1,0,0,0.333,0.389,0.278,18,2022-06-01
sa3014825-AA-COL,Jack Blomgren,COL,23,AA,20,0.588,0.25,0.294,0.1,1.047,0.455,0.353,0.4,0.647,3,1,0,1,0.545,0.273,0.273,18,2022-06-01
sa918808-AA-MIN,Matt Wallner,MIN,24,AA,60,0.559,0.267,0.298,0.2,1.046,0.37,0.298,0.45,0.596,6,4,2,1,0.407,0.259,0.333,18,2022-06-01
sa3010021-AA-LAD,Kody Hoese,LAD,24,AA,52,0.693,0.231,0.32,0.019,1.045,0.405,0.36,0.365,0.68,8,3,0,0,0.351,0.405,0.216,18,2022-06-01
sa828422-AA-ATL,Hendrik Clementina,ATL,25,AA,41,0.308,0.341,0.211,0.073,1.044,0.591,0.395,0.439,0.605,4,2,1,0,0.227,0.364,0.409,18,2022-06-01
sa3010170-AA-TEX,Blaine Crim,TEX,25,AA,62,0.63,0.21,0.264,0.129,1.039,0.405,0.34,0.435,0.604,8,3,0,0,0.378,0.324,0.297,18,2022-06-01
sa3003386-AA-HOU,Yainer Diaz,HOU,23,AA,69,1.053,0.072,0.153,0.13,1.038,0.418,0.407,0.478,0.559,6,1,1,0,0.291,0.6,0.109,18,2022-06-01
sa1115910-AA-KCR,Michael Massey,KCR,24,AA,68,0.576,0.176,0.203,0.103,1.034,0.429,0.39,0.441,0.593,8,2,4,1,0.408,0.367,0.245,18,2022-06-01
sa3010899-AA-MIA,Troy Johnston,MIA,25,AA,41,0.409,0.22,0.179,0.0,1.03,0.5,0.436,0.415,0.615,6,0,0,0,0.412,0.265,0.324,18,2022-06-01
sa918712-AA-LAA,Ryan Aguilar,LAA,27,AA,53,0.746,0.208,0.31,0.208,1.029,0.296,0.286,0.434,0.595,5,4,0,1,0.37,0.481,0.111,18,2022-06-01
sa3005082-AA-HOU,Wilyer Abreu,HOU,23,AA,70,0.66,0.186,0.245,0.243,1.019,0.351,0.302,0.471,0.547,7,3,4,0,0.378,0.27,0.351,18,2022-06-01
sa3008051-AA-NYY,Josh Breaux,NYY,24,AA,54,0.738,0.241,0.356,0.148,1.011,0.286,0.267,0.389,0.622,8,4,0,0,0.536,0.393,0.071,18,2022-06-01
sa3004934-AA-ATL,Riley Delgado,ATL,27,AA,45,0.165,0.156,0.051,0.111,0.998,0.531,0.436,0.511,0.487,2,0,1,0,0.219,0.469,0.312,18,2022-06-01
sa3009879-AA-TOR,Will Robertson,TOR,24,AA,49,0.51,0.388,0.395,0.102,0.998,0.35,0.256,0.347,0.651,9,4,0,1,0.55,0.2,0.2,18,2022-06-01
sa3011227-AA-BOS,Christian Koss,BOS,24,AA,48,0.489,0.25,0.244,0.042,0.996,0.452,0.356,0.396,0.6,5,2,3,0,0.355,0.452,0.194,18,2022-06-01
sa916976-AA-NYY,Andres Chaparro,NYY,23,AA,21,1.167,0.143,0.333,0.048,0.992,0.231,0.278,0.381,0.611,2,2,0,0,0.538,0.308,0.154,18,2022-06-01
sa3014531-AA-MIL,Joey Wiemer,MIL,23,AA,62,0.761,0.242,0.368,0.081,0.988,0.278,0.281,0.339,0.649,9,6,6,1,0.556,0.361,0.139,18,2022-06-01
sa3014944-AA-CIN,Francisco Urbaez,CIN,24,AA,21,inf,0.0,0.167,0.095,0.984,0.35,0.389,0.429,0.556,3,0,0,0,0.35,0.55,0.1,18,2022-06-01
sa918890-AA-KCR,John Rave,KCR,24,AA,31,0.323,0.194,0.125,0.194,0.984,0.471,0.375,0.484,0.5,1,1,1,1,0.294,0.353,0.353,18,2022-06-01
sa3010395-AA-CHC,Darius Hill,CHC,24,AA,64,1.007,0.109,0.22,0.062,0.983,0.367,0.356,0.406,0.576,7,3,2,1,0.449,0.388,0.184,18,2022-06-01
sa875016-AA-ATL,Jalen Miller,ATL,25,AA,50,0.447,0.3,0.268,0.18,0.981,0.417,0.293,0.42,0.561,7,2,0,0,0.333,0.458,0.167,18,2022-06-01
sa3007870-AA-SDP,Connor Hollis,SDP,27,AA,61,0.424,0.197,0.167,0.115,0.98,0.45,0.37,0.443,0.537,4,2,4,1,0.15,0.475,0.35,18,2022-06-01
sa1170010-AA-MIL,Cam Devanney,MIL,25,AA,56,0.875,0.143,0.25,0.161,0.974,0.286,0.295,0.429,0.545,5,3,2,0,0.371,0.514,0.143,18,2022-06-01
sa3015051-AA-CHC,Matt Mervis,CHC,24,AA,49,0.488,0.286,0.279,0.122,0.969,0.385,0.302,0.388,0.581,6,3,0,0,0.385,0.346,0.269,18,2022-06-01
sa3014986-AA-HOU,Justin Dirden,HOU,24,AA,72,0.639,0.236,0.302,0.083,0.964,0.326,0.302,0.361,0.603,10,4,1,0,0.543,0.217,0.261,18,2022-06-01
sa3007053-AA-TBR,Niko Hulsizer,TBR,25,AA,19,0.559,0.368,0.412,0.105,0.963,0.25,0.235,0.316,0.647,3,2,0,0,0.5,0.5,0.125,18,2022-06-01
sa876060-AA-MIA,Griffin Conine,MIA,24,AA,40,0.331,0.4,0.265,0.125,0.959,0.5,0.294,0.4,0.559,5,2,0,0,0.312,0.375,0.312,18,2022-06-01
sa3007750-AA-KCR,Logan Porter,KCR,26,AA,48,0.402,0.229,0.184,0.188,0.958,0.423,0.316,0.458,0.5,5,1,0,0,0.423,0.423,0.154,18,2022-06-01
sa3014937-AA-KCR,Tucker Bradley,KCR,24,AA,50,0.727,0.16,0.233,0.12,0.958,0.364,0.326,0.4,0.558,5,2,2,0,0.212,0.606,0.182,18,2022-06-01
sa918840-AA-CHW,Craig Dedelow,CHW,27,AA,60,0.424,0.417,0.353,0.117,0.958,0.348,0.255,0.35,0.608,8,5,0,1,0.478,0.261,0.261,18,2022-06-01
sa3009886-AA-NYM,Zach Ashford,NYM,25,AA,39,0.43,0.282,0.242,0.154,0.956,0.429,0.303,0.41,0.545,5,1,2,0,0.476,0.333,0.19,18,2022-06-01
sa3011156-AA-CIN,James Free,CIN,24,AA,40,0.556,0.15,0.167,0.075,0.953,0.393,0.361,0.425,0.528,2,2,0,0,0.321,0.5,0.179,18,2022-06-01
sa3010848-AA-BAL,Maverick Handley,BAL,24,AA,39,0.985,0.077,0.152,0.103,0.951,0.355,0.364,0.436,0.515,3,1,0,0,0.387,0.419,0.194,18,2022-06-01
sa3011257-AA-SFG,Tyler Fitzgerald,SFG,24,AA,57,0.473,0.246,0.233,0.14,0.95,0.345,0.279,0.439,0.512,6,2,1,0,0.724,0.138,0.069,18,2022-06-01
sa3003436-AA-TEX,Trey Hair,TEX,27,AA,44,0.941,0.182,0.342,0.114,0.946,0.214,0.263,0.341,0.605,5,4,2,0,0.464,0.286,0.179,18,2022-06-01
sa3004968-AA-MIL,Tristen Lutz,MIL,23,AA,58,0.374,0.328,0.245,0.086,0.945,0.452,0.321,0.379,0.566,7,3,0,0,0.226,0.516,0.258,18,2022-06-01
21897-AA-CHC,Christopher Morel,CHC,23,AA,122,0.527,0.246,0.259,0.082,0.942,0.366,0.306,0.377,0.565,13,7,3,3,0.408,0.38,0.211,18,2022-06-01
