idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
20220-AAA-LAA,Jo Adell,LAA,23,AAA,21,0.309,0.381,0.235,0.143,0.591,0.1,0.118,0.238,0.353,2,1,0,0,0.6,0.3,0.2,7,2022-06-03
sa917824-AA-SDP,Juan Fernandez,SDP,23,AA,26,0.0,0.308,0.0,0.0,0.588,0.412,0.28,0.308,0.28,0,0,0,0,0.059,0.647,0.353,7,2022-06-03
sa549144-AAA-PHI,Drew Maggi,PHI,33,AAA,11,0.0,0.091,0.0,0.182,0.586,0.25,0.222,0.364,0.222,0,0,0,0,0.625,0.25,0.125,7,2022-06-03
sa3004691-A+-PIT,Jacob Gonzalez,PIT,24,A+,21,0.262,0.095,0.05,0.048,0.586,0.278,0.25,0.286,0.3,1,0,0,0,0.333,0.5,0.167,7,2022-06-03
sa3006594-A+-TBR,Osleivis Basabe,TBR,21,A+,20,0.0,0.15,0.0,0.1,0.585,0.286,0.235,0.35,0.235,0,0,3,0,0.286,0.571,0.143,7,2022-06-03
sa3016963-A-ARI,Jacen Roberson,ARI,22,A,13,0.0,0.308,0.0,0.231,0.585,0.333,0.2,0.385,0.2,0,0,0,0,0.333,0.5,0.167,7,2022-06-03
19710-AAA-CIN,Ronnie Dawson,CIN,27,AAA,25,0.155,0.28,0.087,0.04,0.584,0.312,0.217,0.28,0.304,2,0,1,0,0.188,0.625,0.188,7,2022-06-03
sa3017176-A+-BAL,Collin Burns,BAL,22,A+,17,0.654,0.059,0.077,0.235,0.584,0.167,0.154,0.353,0.231,1,0,1,0,0.25,0.833,0.0,7,2022-06-03
sa3017558-A-WSN,Branden Boissiere,WSN,22,A,17,0.218,0.176,0.077,0.235,0.584,0.2,0.154,0.353,0.231,1,0,0,0,0.2,0.7,0.1,7,2022-06-03
sa916844-AAA-SFG,Ricardo Genoves,SFG,23,AAA,12,0.75,0.167,0.25,0.0,0.583,0.111,0.167,0.167,0.417,1,1,0,0,0.333,0.222,0.333,7,2022-06-03
sa3008890-A-NYY,Marcos Cabrera,NYY,20,A,20,0.208,0.4,0.167,0.1,0.583,0.222,0.167,0.25,0.333,1,1,2,0,0.444,0.333,0.222,7,2022-06-03
sa3014461-A+-CLE,Petey Halpin,CLE,20,A+,18,0.0,0.278,0.0,0.056,0.583,0.364,0.25,0.333,0.25,0,0,0,1,0.455,0.273,0.273,7,2022-06-03
sa3008365-A+-TBR,Ronny Simon,TBR,22,A+,12,0.1,0.417,0.083,0.0,0.583,0.429,0.25,0.25,0.333,1,0,1,1,0.286,0.429,0.286,7,2022-06-03
sa3014424-A+-PHI,Baron Radcliff,PHI,23,A+,12,0.062,0.667,0.083,0.0,0.583,0.75,0.25,0.25,0.333,1,0,0,0,0.0,0.5,0.5,7,2022-06-03
sa3005939-A-PHI,Arturo De Freitas,PHI,21,A,16,0.356,0.188,0.133,0.062,0.583,0.25,0.2,0.25,0.333,2,0,0,0,0.333,0.583,0.083,7,2022-06-03
sa3008895-A-SDP,Charlis Aquino,SDP,20,A,12,0.125,0.333,0.083,0.0,0.583,0.375,0.25,0.25,0.333,1,0,0,1,0.25,0.75,0.0,7,2022-06-03
sa3010159-A+-SDP,Ripken Reyes,SDP,25,A+,23,0.451,0.13,0.118,0.217,0.583,0.143,0.118,0.348,0.235,2,0,0,0,0.571,0.286,0.143,7,2022-06-03
sa918192-AAA-TOR,Samad Taylor,TOR,23,AAA,23,0.0,0.174,0.0,0.174,0.583,0.267,0.235,0.348,0.235,0,0,2,0,0.267,0.533,0.2,7,2022-06-03
sa3010398-A-SDP,Tyler Malone,SDP,24,A,19,0.17,0.211,0.071,0.211,0.583,0.2,0.143,0.368,0.214,1,0,0,1,0.5,0.5,0.0,7,2022-06-03
sa876363-AAA-OAK,Dalton Kelly,OAK,27,AAA,15,0.0,0.333,0.0,0.267,0.582,0.333,0.182,0.4,0.182,0,0,0,0,0.167,0.5,0.333,7,2022-06-03
10542-AAA-NYY,Derek Dietrich,NYY,32,AAA,15,0.0,0.067,0.0,0.133,0.582,0.2,0.182,0.4,0.182,0,0,0,0,0.4,0.5,0.1,7,2022-06-03
sa3006678-AAA-NYM,Manny Rodriguez,NYM,25,AAA,11,0.55,0.273,0.3,0.091,0.582,0.0,0.1,0.182,0.4,1,1,0,0,0.5,0.333,0.0,7,2022-06-03
sa3007298-A+-PHI,Rixon Wingrove,PHI,22,A+,11,0.413,0.364,0.3,0.091,0.582,0.0,0.1,0.182,0.4,1,1,0,0,0.6,0.4,0.0,7,2022-06-03
sa3016853-AA-LAA,Zach Humphreys,LAA,24,AA,21,0.0,0.286,0.0,0.238,0.581,0.273,0.2,0.381,0.2,0,0,1,2,0.455,0.364,0.182,7,2022-06-03
17807-AAA-OAK,Drew Jackson,OAK,28,AAA,13,0.148,0.308,0.091,0.154,0.58,0.286,0.182,0.308,0.273,1,0,0,0,0.429,0.571,0.0,7,2022-06-03
sa3014528-AA-DET,Dillon Dingler,DET,23,AA,13,0.148,0.308,0.091,0.154,0.58,0.286,0.182,0.308,0.273,1,0,0,0,0.429,0.429,0.143,7,2022-06-03
sa829058-AAA-PIT,Jamie Ritchie,PIT,29,AAA,13,0.148,0.308,0.091,0.154,0.58,0.286,0.182,0.308,0.273,1,0,0,0,0.286,0.429,0.143,7,2022-06-03
sa3006578-A-STL,Sander Mora,STL,21,A,16,0.0,0.375,0.0,0.062,0.579,0.444,0.267,0.312,0.267,0,0,0,0,0.333,0.333,0.333,7,2022-06-03
sa3006621-A+-COL,Bladimir Restituyo,COL,20,A+,16,0.0,0.188,0.0,0.0,0.579,0.333,0.267,0.312,0.267,0,0,1,1,0.417,0.333,0.25,7,2022-06-03
sa3004933-A+-SDP,Olivier Basabe,SDP,24,A+,20,0.0,0.2,0.0,0.05,0.578,0.312,0.278,0.3,0.278,0,0,0,0,0.438,0.562,0.062,7,2022-06-03
sa3010720-A-ATL,Stephen Paolini,ATL,21,A,20,0.079,0.35,0.056,0.1,0.578,0.364,0.222,0.3,0.278,1,0,0,1,0.545,0.273,0.091,7,2022-06-03
sa3007872-AA-LAD,Hunter Feduccia,LAD,25,AA,20,0.069,0.4,0.056,0.1,0.578,0.4,0.222,0.3,0.278,1,0,0,0,0.3,0.5,0.2,7,2022-06-03
22217-AAA-SDP,Luis Campusano,SDP,23,AAA,24,0.381,0.125,0.095,0.125,0.577,0.222,0.19,0.292,0.286,2,0,0,0,0.222,0.722,0.056,7,2022-06-03
sa3008878-A+-PIT,Maikol Escotto,PIT,20,A+,19,0.198,0.474,0.188,0.105,0.576,0.286,0.125,0.263,0.312,2,0,0,1,0.143,0.429,0.429,7,2022-06-03
sa3007044-AAA-ATL,Greyson Jenista,ATL,25,AAA,19,0.223,0.421,0.188,0.105,0.576,0.143,0.125,0.263,0.312,1,1,0,0,0.429,0.286,0.286,7,2022-06-03
sa969091-A+-OAK,Lazaro Armenteros,OAK,23,A+,19,0.198,0.474,0.188,0.158,0.576,0.167,0.125,0.263,0.312,1,1,1,0,0.667,0.333,0.0,7,2022-06-03
sa3004051-AA-CHW,Lenyn Sosa,CHW,22,AA,29,0.23,0.241,0.111,0.034,0.575,0.273,0.222,0.241,0.333,3,0,0,0,0.364,0.364,0.227,7,2022-06-03
sa3005554-A+-LAD,Eddys Leonard,LAD,21,A+,28,0.0,0.179,0.0,0.143,0.575,0.278,0.217,0.357,0.217,0,0,0,0,0.333,0.444,0.222,7,2022-06-03
sa3008180-A-PIT,Grant Koch,PIT,25,A,11,0.55,0.091,0.1,0.091,0.573,0.222,0.2,0.273,0.3,1,0,0,0,0.333,0.444,0.222,7,2022-06-03
sa3016961-A+-SDP,Corey Rosier,SDP,22,A+,18,0.088,0.333,0.059,0.056,0.572,0.364,0.235,0.278,0.294,1,0,1,0,0.455,0.182,0.364,7,2022-06-03
13329-AAA-LAD,Jake Lamb,LAD,31,AAA,28,0.058,0.357,0.042,0.143,0.571,0.357,0.208,0.321,0.25,1,0,0,0,0.286,0.429,0.357,7,2022-06-03
sa3014691-A-MIA,Ian Lewis,MIA,19,A,21,0.583,0.143,0.167,0.095,0.571,0.125,0.167,0.238,0.333,1,1,1,0,0.25,0.688,0.125,7,2022-06-03
sa3017477-A-PHI,Anthony Quirion,PHI,24,A,27,0.205,0.333,0.136,0.148,0.569,0.167,0.136,0.296,0.273,1,1,0,0,0.167,0.583,0.25,7,2022-06-03
sa3004285-AA-DET,Dylan Rosa,DET,26,AA,21,0.0,0.429,0.0,0.238,0.568,0.429,0.188,0.381,0.188,0,0,0,0,0.429,0.286,0.286,7,2022-06-03
sa3015170-A-ARI,Junior Franco,ARI,19,A,22,0.0,0.273,0.0,0.091,0.568,0.357,0.25,0.318,0.25,0,0,3,0,0.286,0.5,0.214,7,2022-06-03
19562-AAA-DET,Zack Short,DET,27,AAA,29,0.906,0.069,0.125,0.138,0.568,0.13,0.167,0.276,0.292,1,1,1,0,0.522,0.304,0.174,7,2022-06-03
15189-AAA-PHI,Dustin Peterson,PHI,27,AAA,20,0.105,0.5,0.105,0.05,0.566,0.444,0.211,0.25,0.316,2,0,0,0,0.444,0.333,0.222,7,2022-06-03
sa1115752-A+-MIN,Seth Gray,MIN,24,A+,19,0.119,0.263,0.062,0.105,0.566,0.273,0.188,0.316,0.25,1,0,2,0,0.273,0.455,0.364,7,2022-06-03
sa3006857-AA-PHI,Jack Conley,PHI,25,AA,19,0.066,0.474,0.062,0.158,0.566,0.429,0.188,0.316,0.25,1,0,0,0,0.143,0.571,0.286,7,2022-06-03
sa3008941-A-CHW,Wilber Sanchez,CHW,20,A,21,0.583,0.095,0.111,0.143,0.563,0.188,0.167,0.286,0.278,2,0,2,1,0.5,0.312,0.125,7,2022-06-03
sa3014939-A-PHI,Chris Burke,PHI,20,A,16,0.111,0.375,0.083,0.125,0.562,0.333,0.167,0.312,0.25,1,0,0,0,0.0,0.667,0.333,7,2022-06-03
sa921577-A+-HOU,Luis Santana,HOU,22,A+,16,0.3,0.312,0.188,0.0,0.562,0.2,0.188,0.188,0.375,1,1,0,0,0.1,0.9,0.0,7,2022-06-03
sa3017563-A-WSN,Jacob Young,WSN,22,A,27,0.0,0.148,0.0,0.185,0.561,0.235,0.19,0.37,0.19,0,0,2,0,0.294,0.706,0.0,7,2022-06-03
sa3008875-A-TEX,Junior Paniagua,TEX,20,A,13,0.0,0.538,0.0,0.077,0.558,0.6,0.25,0.308,0.25,0,0,0,0,0.0,0.2,0.6,7,2022-06-03
sa3009834-A-PIT,Sergio Campana,PIT,20,A,26,0.217,0.346,0.15,0.231,0.558,0.1,0.1,0.308,0.25,1,1,3,1,0.2,0.8,0.1,7,2022-06-03
sa917116-A-NYM,Raul Beracierta,NYM,23,A,13,0.0,0.462,0.0,0.077,0.558,0.5,0.25,0.308,0.25,0,0,0,0,0.333,0.167,0.333,7,2022-06-03
sa3017562-A-BAL,Creed Willems,BAL,19,A,13,0.0,0.231,0.0,0.0,0.558,0.333,0.25,0.308,0.25,0,0,0,0,0.667,0.222,0.111,7,2022-06-03
sa3009870-A+-SDP,Matthew Acosta,SDP,24,A+,14,0.35,0.143,0.1,0.286,0.557,0.125,0.1,0.357,0.2,1,0,2,0,0.375,0.625,0.0,7,2022-06-03
sa3015190-A-SFG,Adrian Sugastey,SFG,19,A,18,1.0,0.056,0.111,0.0,0.556,0.235,0.222,0.222,0.333,1,0,0,0,0.412,0.412,0.176,7,2022-06-03
12394-AAA-SFG,Jason Krizan,SFG,33,AAA,18,1.0,0.111,0.222,0.0,0.556,0.133,0.167,0.167,0.389,2,1,0,0,0.267,0.467,0.2,7,2022-06-03
sa3014460-A-CLE,Isaiah Greene,CLE,20,A,22,0.259,0.227,0.118,0.227,0.553,0.167,0.118,0.318,0.235,1,0,1,0,0.25,0.667,0.0,7,2022-06-03
sa3006883-A+-MIL,Micah Bello,MIL,21,A+,17,0.319,0.294,0.188,0.0,0.551,0.2,0.188,0.176,0.375,1,1,0,0,0.6,0.1,0.3,7,2022-06-03
sa3016823-A-CIN,Blake Dunn,CIN,23,A,22,0.086,0.364,0.062,0.182,0.551,0.25,0.125,0.364,0.188,1,0,7,0,0.375,0.375,0.25,7,2022-06-03
sa3017118-A-KCR,River Town,KCR,22,A,26,0.208,0.192,0.08,0.0,0.551,0.3,0.24,0.231,0.32,2,0,0,0,0.55,0.15,0.3,7,2022-06-03
