idlevelorg,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Pull%,Cent%,Oppo%,Date,hmm
sa3016936-A-TBR,Kyle Whitten,TBR,23,A,0,-100,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,,,,,,,2022-06-03,0.0
sa917292-AA-HOU,Ronaldo Urdaneta,HOU,23,AA,12,-40,0.417,0.0,0.167,0.167,0.167,0.0,0.0,0.167,0.0,0.0,0,0,0,0,0,0.6,0.4,0.0,0.6,0.4,0.0,2022-06-03,0.0
sa923239-AAA-SDP,Reinaldo Ilarraza,SDP,23,AAA,4,-100,0.5,0.0,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,2022-06-03,0.0
19260-AAA-CIN,Jake Fraley,CIN,27,AAA,12,119,0.333,0.3,0.082,0.167,0.833,0.2,0.2,0.333,0.5,0.25,1,0,0,0,0,0.667,0.333,0.0,0.667,0.333,0.0,2022-06-03,0.34590090199965207
10067-AAA-LAD,Tomas Telis,LAD,31,AAA,98,99,0.102,0.036,0.057,0.102,0.737,0.347,0.31,0.392,0.345,0.0,0,3,0,0,0,0.253,0.52,0.227,0.253,0.52,0.227,2022-06-03,0.11146002047496355
10441-AAA-MIL,Jon Singleton,MIL,30,AAA,175,111,0.28,0.234,0.128,0.206,0.778,0.22,0.19,0.354,0.423,0.205,8,6,1,2,0,0.459,0.341,0.2,0.459,0.341,0.2,2022-06-03,0.29058454372317943
10542-AAA-NYY,Derek Dietrich,NYY,32,AAA,47,103,0.255,0.175,0.16,0.064,0.74,0.296,0.225,0.34,0.4,0.067,1,4,0,0,0,0.536,0.286,0.179,0.536,0.286,0.179,2022-06-03,0.25143305168671354
10542-AA-NYY,Derek Dietrich,NYY,32,AA,77,199,0.299,0.419,0.144,0.117,1.131,0.344,0.29,0.421,0.71,0.259,7,5,0,0,0,0.711,0.105,0.184,0.711,0.105,0.184,2022-06-03,0.5041557918291789
10700-AAA-NYY,Ryan LaMarre,NYY,33,AAA,62,77,0.242,0.094,0.089,0.081,0.624,0.289,0.208,0.323,0.302,0.0,0,5,0,2,1,0.243,0.486,0.27,0.243,0.486,0.27,2022-06-03,0.15451045761039733
11338-AAA-WSN,Adrian Sanchez,WSN,31,AAA,67,78,0.224,0.068,0.108,0.119,0.633,0.318,0.237,0.328,0.305,0.0,0,4,0,0,0,0.25,0.591,0.159,0.25,0.591,0.159,2022-06-03,0.12921070432622192
11379-AAA-ATL,Delino DeShields,ATL,29,AAA,136,101,0.279,0.038,0.098,0.184,0.68,0.371,0.245,0.397,0.283,0.0,0,4,0,10,5,0.377,0.435,0.188,0.377,0.435,0.188,2022-06-03,0.08301680118964755
11400-AAA-PHI,Ronald Torreyes,PHI,29,AAA,38,21,0.053,0.029,0.053,0.079,0.437,0.182,0.171,0.237,0.2,0.0,0,1,0,0,0,0.364,0.515,0.121,0.364,0.515,0.121,2022-06-03,0.06348563912508028
11472-AAA-CHC,Dixon Machado,CHC,30,AAA,191,117,0.126,0.044,0.061,0.152,0.753,0.348,0.296,0.414,0.34,0.0,0,7,0,8,2,0.299,0.47,0.231,0.299,0.47,0.231,2022-06-03,0.1206685465721648
11476-AAA-PHI,Odubel Herrera,PHI,30,AAA,13,-6,0.077,0.077,0.023,0.0,0.385,0.167,0.154,0.154,0.231,0.0,0,1,0,0,0,0.333,0.5,0.167,0.333,0.5,0.167,2022-06-03,0.12628606121589092
11746-AAA-LAD,Stefen Romero,LAD,33,AAA,72,136,0.181,0.262,0.134,0.056,0.96,0.36,0.323,0.375,0.585,0.167,3,8,0,0,0,0.346,0.481,0.173,0.346,0.481,0.173,2022-06-03,0.38815944231953514
11812-AAA-WSN,Alberto Baldonado,WSN,29,AAA,0,-100,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,,,,,,,2022-06-03,0.0
12037-A-MIA,Jon Berti,MIA,32,A,6,36,0.167,0.167,0.05,0.0,0.5,0.2,0.167,0.167,0.333,0.0,0,1,0,0,0,0.4,0.2,0.4,0.4,0.2,0.4,2022-06-03,0.23116316249177588
12092-AAA-HOU,Niko Goodrum,HOU,30,AAA,58,169,0.207,0.214,0.078,0.276,1.024,0.393,0.31,0.5,0.524,0.25,2,3,0,2,0,0.286,0.464,0.25,0.286,0.464,0.25,2022-06-03,0.3386083684644815
12140-AAA-CIN,Juniel Querecuto,CIN,29,AAA,68,85,0.118,0.127,0.071,0.074,0.69,0.291,0.254,0.309,0.381,0.0,0,6,1,1,2,0.315,0.463,0.222,0.315,0.463,0.222,2022-06-03,0.22797646104499625
12198-AAA-ARI,Jake Hager,ARI,29,AAA,91,92,0.22,0.141,0.085,0.165,0.743,0.296,0.239,0.363,0.38,0.056,1,7,0,2,1,0.333,0.463,0.204,0.333,0.463,0.204,2022-06-03,0.21972954013651827
12225-AAA-COL,Scott Schebler,COL,31,AAA,169,94,0.278,0.216,0.178,0.083,0.792,0.316,0.25,0.325,0.466,0.162,6,4,5,2,0,0.359,0.427,0.214,0.359,0.427,0.214,2022-06-03,0.2971111058403488
12394-AAA-SFG,Jason Krizan,SFG,33,AAA,107,65,0.168,0.138,0.055,0.112,0.65,0.24,0.213,0.299,0.351,0.069,2,7,0,0,0,0.387,0.44,0.173,0.387,0.44,0.173,2022-06-03,0.21054828931217004
12434-AAA-LAD,Kevin Pillar,LAD,33,AAA,153,153,0.111,0.307,0.083,0.131,1.034,0.298,0.315,0.412,0.622,0.17,9,6,3,2,1,0.477,0.324,0.198,0.477,0.324,0.198,2022-06-03,0.43439828096850214
12547-AAA-CHC,John Hicks,CHC,32,AAA,116,65,0.302,0.202,0.242,0.043,0.645,0.243,0.202,0.241,0.404,0.185,5,5,1,2,1,0.375,0.417,0.208,0.375,0.417,0.208,2022-06-03,0.25850068215575756
12990-AAA-CHC,Erick Castillo,CHC,29,AAA,22,83,0.227,0.0,0.108,0.091,0.627,0.357,0.263,0.364,0.263,0.0,0,0,0,0,0,0.071,0.857,0.071,0.071,0.857,0.071,2022-06-03,0.0
13006-AA-SDP,Mitch Walding,SDP,29,AA,29,21,0.276,0.045,0.134,0.241,0.367,0.071,0.045,0.276,0.091,0.0,0,1,0,1,0,0.5,0.429,0.071,0.5,0.429,0.071,2022-06-03,0.052766469912143815
13012-AAA-PHI,John Andreoli,PHI,32,AAA,136,76,0.36,0.106,0.108,0.213,0.595,0.259,0.154,0.336,0.26,0.071,2,3,1,6,1,0.509,0.291,0.2,0.509,0.291,0.2,2022-06-03,0.1449499591568825
13151-AAA-KCR,Jose Briceno,KCR,29,AAA,19,59,0.158,0.0,0.088,0.053,0.551,0.286,0.235,0.316,0.235,0.0,0,0,0,0,0,0.5,0.286,0.214,0.5,0.286,0.214,2022-06-03,0.0
13167-AAA-CHC,Robel Garcia,CHC,29,AAA,165,161,0.309,0.324,0.139,0.145,1.013,0.372,0.295,0.394,0.619,0.343,12,7,1,0,1,0.393,0.292,0.315,0.393,0.292,0.315,2022-06-03,0.416173733794419
13324-AAA-CHC,Ildemaro Vargas,CHC,30,AAA,112,95,0.107,0.135,0.051,0.062,0.735,0.304,0.279,0.321,0.413,0.03,1,3,4,1,0,0.355,0.419,0.226,0.355,0.419,0.226,2022-06-03,0.24697040457492353
13329-AAA-LAD,Jake Lamb,LAD,31,AAA,195,118,0.262,0.227,0.122,0.144,0.865,0.311,0.264,0.374,0.491,0.262,11,4,0,0,1,0.368,0.377,0.254,0.368,0.377,0.254,2022-06-03,0.3115362515773024
13369-AAA-MIA,Erik Gonzalez,MIA,30,AAA,115,156,0.174,0.131,0.125,0.061,0.949,0.471,0.393,0.426,0.523,0.045,1,9,1,4,1,0.256,0.57,0.174,0.256,0.57,0.174,2022-06-03,0.27831964228111444
13472-AAA-OAK,Christian Lopes,OAK,29,AAA,144,46,0.264,0.056,0.134,0.083,0.554,0.289,0.206,0.292,0.262,0.0,0,7,0,3,1,0.433,0.278,0.289,0.433,0.278,0.289,2022-06-03,0.09938457214542905
13607-AAA-WSN,Carl Edwards Jr.,WSN,30,AAA,0,-100,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,,,,,,,2022-06-03,0.0
13654-AAA-MIN,Jharel Cotton,MIN,30,AAA,0,-100,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,,,,,,,2022-06-03,0.0
13897-AAA-TOR,Tyler Heineman,TOR,31,AAA,8,-40,0.5,0.0,0.171,0.0,0.25,0.25,0.125,0.125,0.125,0.0,0,0,0,0,0,0.25,0.5,0.25,0.25,0.5,0.25,2022-06-03,0.0
13910-AAA-CHW,Patrick Kivlehan,CHW,32,AAA,15,283,0.067,0.583,0.091,0.2,1.533,0.333,0.417,0.533,1.0,0.5,2,1,0,0,0,0.364,0.273,0.364,0.364,0.273,0.364,2022-06-03,0.7063843449742364
14109-AAA-CIN,Albert Almora Jr.,CIN,28,AAA,55,124,0.036,0.074,0.054,0.018,0.826,0.385,0.37,0.382,0.444,0.0,0,4,0,0,0,0.3,0.44,0.26,0.3,0.44,0.26,2022-06-03,0.22461983102411576
14320-AAA-ARI,Wilmer Difo,ARI,30,AAA,48,47,0.125,0.047,0.085,0.083,0.571,0.263,0.233,0.292,0.279,0.0,0,2,0,1,2,0.158,0.658,0.184,0.158,0.658,0.184,2022-06-03,0.10278307887146705
14329-AAA-CLE,Anthony Alford,CLE,27,AAA,33,59,0.394,0.2,0.206,0.091,0.609,0.2,0.167,0.242,0.367,0.333,2,0,0,1,0,0.375,0.438,0.188,0.375,0.438,0.188,2022-06-03,0.2345205471994428
14329-AAA-PIT,Anthony Alford,PIT,27,AAA,11,247,0.182,0.75,0.13,0.273,1.455,0.0,0.25,0.455,1.0,0.5,2,0,0,1,0,0.667,0.167,0.167,0.667,0.167,0.167,2022-06-03,0.75
14388-AAA-NYY,Ronald Guzman,NYY,27,AAA,136,64,0.324,0.112,0.161,0.125,0.587,0.257,0.181,0.294,0.293,0.125,3,4,0,0,0,0.329,0.37,0.301,0.329,0.37,0.301,2022-06-03,0.15657267775579603
14509-AAA-MIN,Dereck Rodriguez,MIN,30,AAA,1,-100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022-06-03,0.0
14593-AAA-CHC,David Bote,CHC,29,AAA,51,42,0.216,0.044,0.123,0.118,0.497,0.235,0.178,0.275,0.222,0.0,0,2,0,2,0,0.364,0.485,0.152,0.364,0.485,0.152,2022-06-03,0.07872632118970553
14636-AAA-SDP,Webster Rivas,SDP,31,AAA,32,100,0.25,0.038,0.061,0.188,0.714,0.389,0.269,0.406,0.308,0.0,0,1,0,0,0,0.294,0.353,0.353,0.294,0.353,0.353,2022-06-03,0.09098958825549228
14678-AAA-NYM,Tzu-Wei Lin,NYM,28,AAA,38,58,0.289,0.2,0.084,0.079,0.608,0.182,0.171,0.237,0.371,0.333,2,1,0,2,1,0.261,0.478,0.261,0.261,0.478,0.261,2022-06-03,0.24342281810696528
14811-AAA-SDP,Luke Voit,SDP,31,AAA,20,-72,0.6,0.0,0.265,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0,0,0,0,0,0.333,0.667,0.0,0.333,0.667,0.0,2022-06-03,0.0
14818-AAA-KCR,JaCoby Jones,KCR,30,AAA,117,55,0.427,0.131,0.146,0.068,0.584,0.327,0.196,0.256,0.327,0.115,3,5,0,2,0,0.456,0.351,0.193,0.456,0.351,0.193,2022-06-03,0.1746772749820941
14897-AAA-NYM,Daniel Palka,NYM,30,AAA,170,111,0.247,0.243,0.123,0.129,0.802,0.25,0.23,0.329,0.473,0.27,10,6,0,0,1,0.356,0.5,0.144,0.356,0.5,0.144,2022-06-03,0.31450680762361394
15104-AAA-MIL,Jonathan Davis,MIL,30,AAA,136,133,0.191,0.101,0.082,0.162,0.83,0.373,0.303,0.426,0.404,0.074,2,5,0,10,1,0.325,0.446,0.229,0.325,0.446,0.229,2022-06-03,0.19885792379170847
15124-AAA-NYY,Tim Locastro,NYY,29,AAA,26,93,0.192,0.0,0.119,0.115,0.657,0.353,0.273,0.385,0.273,0.0,0,0,0,0,0,0.294,0.529,0.176,0.294,0.529,0.176,2022-06-03,0.0
15194-AAA-CIN,Jake Bauers,CIN,26,AAA,116,54,0.284,0.135,0.099,0.164,0.547,0.164,0.135,0.276,0.271,0.088,3,4,0,4,2,0.531,0.312,0.156,0.531,0.312,0.156,2022-06-03,0.16900953661683096
15402-AAA-LAA,Jack Mayfield,LAA,31,AAA,41,-9,0.122,0.027,0.105,0.073,0.357,0.152,0.135,0.195,0.162,0.0,0,1,0,1,0,0.333,0.545,0.121,0.333,0.545,0.121,2022-06-03,0.047815324052015294
15482-AAA-CIN,Aristides Aquino,CIN,28,AAA,42,190,0.357,0.429,0.178,0.095,1.148,0.412,0.314,0.405,0.743,0.444,4,3,0,2,0,0.429,0.19,0.381,0.429,0.19,0.381,2022-06-03,0.5142780993946152
15487-AAA-DET,Victor Reyes,DET,27,AAA,18,282,0.0,0.5,0.016,0.167,1.556,0.385,0.5,0.556,1.0,0.667,2,1,0,1,1,0.2,0.6,0.2,0.2,0.6,0.2,2022-06-03,0.6886574386349817
15519-AAA-HOU,Franklin Barreto,HOU,26,AAA,175,51,0.354,0.144,0.191,0.109,0.595,0.253,0.176,0.274,0.32,0.143,5,5,1,6,3,0.385,0.418,0.198,0.385,0.418,0.198,2022-06-03,0.18844090743641234
15564-AAA-MIL,Tyler White,MIL,31,AAA,157,114,0.197,0.209,0.066,0.159,0.791,0.239,0.225,0.357,0.434,0.135,7,4,1,3,0,0.542,0.281,0.177,0.542,0.281,0.177,2022-06-03,0.2849948150870773
15585-AAA-SEA,Mike Ford,SEA,29,AAA,47,129,0.085,0.171,0.056,0.106,0.892,0.314,0.317,0.404,0.488,0.286,2,1,0,0,0,0.194,0.556,0.25,0.194,0.556,0.25,2022-06-03,0.30398155577116087
15608-AAA-MIA,Willians Astudillo,MIA,30,AAA,89,110,0.034,0.179,0.037,0.022,0.79,0.26,0.286,0.326,0.464,0.105,4,3,0,1,0,0.475,0.4,0.125,0.475,0.4,0.125,2022-06-03,0.30749929293344636
15654-AAA-OAK,Billy McKinney,OAK,27,AAA,71,155,0.254,0.3,0.124,0.155,1.039,0.378,0.317,0.423,0.617,0.294,5,3,0,1,0,0.415,0.268,0.317,0.415,0.268,0.317,2022-06-03,0.4093142253894544
15672-AAA-DET,Austin Meadows,DET,27,AAA,7,-47,0.143,0.0,0.107,0.143,0.143,0.0,0.0,0.143,0.0,0.0,0,0,0,0,0,0.25,0.75,0.0,0.25,0.75,0.0,2022-06-03,0.0
15766-AA-CHW,Raudy Read,CHW,28,AA,126,137,0.214,0.218,0.127,0.167,0.91,0.324,0.287,0.405,0.505,0.24,6,4,0,0,0,0.338,0.514,0.149,0.338,0.514,0.149,2022-06-03,0.31832734710634575
15817-AAA-SEA,Erick Mejia,SEA,27,AAA,189,94,0.201,0.195,0.08,0.122,0.774,0.275,0.244,0.335,0.439,0.171,7,9,1,10,2,0.325,0.452,0.222,0.325,0.452,0.222,2022-06-03,0.2804097019227784
15958-AAA-ATL,Travis Demeritte,ATL,27,AAA,57,151,0.246,0.32,0.122,0.123,0.968,0.353,0.28,0.368,0.6,0.133,2,6,2,2,0,0.417,0.389,0.194,0.417,0.389,0.194,2022-06-03,0.42449740715388007
15986-AAA-MIL,Willy Adames,MIL,26,AAA,3,81,0.0,0.0,0.0,0.0,0.667,0.333,0.333,0.333,0.333,0.0,0,0,0,0,0,0.0,0.333,0.667,0.0,0.333,0.667,2022-06-03,0.0
15994-AAA-LAA,Kean Wong,LAA,27,AAA,177,86,0.192,0.045,0.108,0.119,0.698,0.361,0.286,0.367,0.331,0.0,0,5,1,10,3,0.203,0.534,0.263,0.203,0.534,0.263,2022-06-03,0.10953394091473122
16042-AAA-CHW,Mark Payton,CHW,30,AAA,184,123,0.152,0.189,0.103,0.098,0.842,0.321,0.293,0.361,0.482,0.13,6,9,2,4,3,0.338,0.404,0.257,0.338,0.404,0.257,2022-06-03,0.3037458567079938
16098-AA-WSN,Taylor Gushue,WSN,28,AA,77,175,0.182,0.344,0.098,0.195,1.022,0.244,0.262,0.416,0.607,0.25,6,3,0,0,0,0.511,0.277,0.213,0.511,0.277,0.213,2022-06-03,0.43007764601870546
16279-AAA-WSN,Sam Clay,WSN,29,AAA,0,-100,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,,,,,,,2022-06-03,0.0
16291-AAA-CHW,Nick Ciuffo,CHW,27,AAA,61,66,0.311,0.103,0.107,0.049,0.624,0.342,0.241,0.279,0.345,0.083,1,3,0,0,0,0.308,0.436,0.256,0.308,0.436,0.256,2022-06-03,0.16419620620952102
16357-AAA-MIL,Pablo Reyes,MIL,28,AAA,145,113,0.138,0.186,0.067,0.097,0.794,0.279,0.264,0.345,0.45,0.111,5,7,1,7,2,0.417,0.352,0.231,0.417,0.352,0.231,2022-06-03,0.28857942897257666
16404-AA-SDP,Domingo Leyba,SDP,26,AA,124,78,0.153,0.079,0.059,0.161,0.672,0.265,0.238,0.355,0.317,0.069,2,2,0,1,0,0.349,0.386,0.265,0.349,0.386,0.265,2022-06-03,0.1456987825793189
16404-AAA-SDP,Domingo Leyba,SDP,26,AAA,39,37,0.154,0.156,0.064,0.154,0.538,0.115,0.125,0.256,0.281,0.083,1,2,0,0,0,0.462,0.346,0.192,0.462,0.346,0.192,2022-06-03,0.19228812740899928
16429-AAA-LAD,Jason Martin,LAD,26,AAA,171,122,0.251,0.23,0.13,0.129,0.888,0.36,0.284,0.374,0.514,0.176,6,10,3,2,2,0.337,0.396,0.267,0.337,0.396,0.267,2022-06-03,0.33174784436774696
16446-AA-NYM,Johneshwy Fargas,NYM,27,AA,94,81,0.202,0.136,0.114,0.085,0.647,0.233,0.21,0.301,0.346,0.094,3,2,0,11,0,0.516,0.339,0.145,0.516,0.339,0.145,2022-06-03,0.19920369454327774
16446-AAA-NYM,Johneshwy Fargas,NYM,27,AAA,44,45,0.227,0.19,0.163,0.023,0.585,0.194,0.19,0.205,0.381,0.143,2,2,0,3,1,0.438,0.375,0.188,0.438,0.375,0.188,2022-06-03,0.24463229664174174
16535-A-TOR,Danny Jansen,TOR,27,A,11,148,0.0,0.2,0.086,0.0,0.864,0.3,0.3,0.364,0.5,0.0,0,2,0,0,0,0.7,0.0,0.3,0.7,0.0,0.3,2022-06-03,0.37043485046149427
16542-A+-BAL,Shed Long Jr.,BAL,26,A+,20,90,0.4,0.125,0.117,0.2,0.662,0.375,0.188,0.35,0.312,0.0,0,0,1,0,0,0.25,0.5,0.25,0.25,0.5,0.25,2022-06-03,0.17961612529566878
16593-AAA-SEA,Kevin Padlo,SEA,25,AAA,63,70,0.365,0.154,0.143,0.143,0.644,0.259,0.173,0.317,0.327,0.143,2,2,0,4,0,0.483,0.379,0.138,0.483,0.379,0.138,2022-06-03,0.19915995484759386
16622-AA-MIL,Luis Urias,MIL,25,AA,31,25,0.226,0.037,0.13,0.097,0.443,0.2,0.148,0.258,0.185,0.0,0,1,0,0,0,0.368,0.474,0.158,0.368,0.474,0.158,2022-06-03,0.0620644635471896
16686-AAA-SFG,Jason Vosler,SFG,28,AAA,82,55,0.305,0.123,0.114,0.098,0.613,0.283,0.205,0.284,0.329,0.087,2,1,1,0,0,0.479,0.375,0.146,0.479,0.375,0.146,2022-06-03,0.17778772775633153
16885-AAA-TOR,Joshua Fuentes,TOR,29,AAA,112,8,0.384,0.038,0.19,0.036,0.405,0.258,0.162,0.205,0.2,0.032,1,1,0,1,0,0.508,0.361,0.131,0.508,0.361,0.131,2022-06-03,0.058049588690469486
16953-AAA-ATL,Chadwick Tromp,ATL,27,AAA,124,121,0.194,0.282,0.101,0.048,0.862,0.271,0.274,0.306,0.556,0.214,9,6,0,0,0,0.447,0.362,0.191,0.447,0.362,0.191,2022-06-03,0.3740110342093107
16959-AAA-LAD,Eddy Alvarez,LAD,32,AAA,194,141,0.253,0.196,0.102,0.134,0.93,0.413,0.304,0.43,0.5,0.135,5,8,4,3,2,0.343,0.407,0.25,0.343,0.407,0.25,2022-06-03,0.3088001538102118
17022-AA-STL,Edmundo Sosa,STL,26,AA,9,126,0.0,0.0,0.038,0.0,0.819,0.375,0.375,0.444,0.375,0.0,0,0,0,0,0,0.25,0.5,0.25,0.25,0.5,0.25,2022-06-03,0.0
17023-AAA-LAA,Magneuris Sierra,LAA,26,AAA,138,76,0.167,0.147,0.072,0.043,0.707,0.277,0.256,0.304,0.403,0.2,5,2,1,8,0,0.24,0.519,0.24,0.24,0.519,0.24,2022-06-03,0.23399119099324728
17062-AAA-ARI,Grayson Greiner,ARI,29,AAA,55,98,0.345,0.125,0.143,0.127,0.759,0.429,0.271,0.364,0.396,0.333,1,3,0,0,0,0.103,0.552,0.345,0.103,0.552,0.345,2022-06-03,0.20134575847943584
17109-AAA-TEX,Meibrys Viloria,TEX,25,AAA,108,137,0.222,0.144,0.074,0.157,0.902,0.422,0.322,0.435,0.467,0.133,2,7,0,2,0,0.231,0.554,0.215,0.231,0.554,0.215,2022-06-03,0.2601360707936858
17161-AAA-LAA,Chad Wallach,LAA,30,AAA,110,90,0.218,0.163,0.126,0.145,0.737,0.284,0.228,0.345,0.391,0.118,2,7,1,1,0,0.25,0.559,0.191,0.25,0.559,0.191,2022-06-03,0.24269126850105266
17276-AAA-MIL,Alex Jackson,MIL,26,AAA,91,96,0.253,0.192,0.187,0.088,0.742,0.291,0.231,0.319,0.423,0.074,2,7,1,1,0,0.466,0.345,0.19,0.466,0.345,0.19,2022-06-03,0.26965271041282873
17423-AAA-CHW,Yermin Mercedes,CHW,29,AAA,75,107,0.253,0.19,0.152,0.147,0.759,0.268,0.222,0.347,0.413,0.158,3,3,0,1,0,0.442,0.233,0.326,0.442,0.233,0.326,2022-06-03,0.2610147673452072
17642-AAA-CIN,JT Riddle,CIN,30,AAA,104,59,0.212,0.156,0.125,0.048,0.615,0.233,0.208,0.25,0.365,0.115,3,4,1,0,0,0.356,0.479,0.164,0.356,0.479,0.164,2022-06-03,0.22066710271449252
17714-AAA-BOS,Christin Stewart,BOS,28,AAA,160,111,0.338,0.196,0.153,0.106,0.779,0.329,0.239,0.344,0.435,0.182,8,3,0,7,0,0.524,0.286,0.19,0.524,0.286,0.19,2022-06-03,0.2647465462682341
17719-AAA-SFG,Steven Duggar,SFG,28,AAA,2,-100,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,2022-06-03,0.0
17750-AAA-CIN,Max Schrock,CIN,27,AAA,14,45,0.143,0.0,0.08,0.071,0.516,0.273,0.231,0.286,0.231,0.0,0,0,0,0,0,0.273,0.455,0.273,0.273,0.455,0.273,2022-06-03,0.0
17807-AAA-OAK,Drew Jackson,OAK,28,AAA,112,89,0.25,0.043,0.122,0.161,0.677,0.359,0.25,0.384,0.293,0.0,0,4,0,7,0,0.258,0.565,0.177,0.258,0.565,0.177,2022-06-03,0.0942014654649184
17838-AAA-TEX,Willie Calhoun,TEX,27,AAA,71,69,0.113,0.185,0.052,0.07,0.697,0.204,0.231,0.282,0.415,0.138,4,0,0,0,0,0.5,0.362,0.138,0.5,0.362,0.138,2022-06-03,0.26410693119881745
17922-AAA-SFG,Isan Diaz,SFG,26,AAA,79,115,0.291,0.313,0.145,0.127,0.879,0.237,0.224,0.342,0.537,0.462,6,1,1,1,1,0.295,0.386,0.318,0.295,0.386,0.318,2022-06-03,0.37480385872709127
17922-A-MIA,Isan Diaz,MIA,26,A,7,-28,0.286,0.0,0.08,0.143,0.167,0.0,0.0,0.167,0.0,0.0,0,0,0,0,0,0.667,0.333,0.0,0.667,0.333,0.0,2022-06-03,0.0
17922-AAA-MIA,Isan Diaz,MIA,26,AAA,8,-55,0.75,0.0,0.278,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,2022-06-03,0.0
17992-AAA-LAA,David Fletcher,LAA,28,AAA,18,2,0.222,0.0,0.098,0.056,0.399,0.231,0.176,0.222,0.176,0.0,0,0,0,0,0,0.231,0.615,0.154,0.231,0.615,0.154,2022-06-03,0.0
18027-AAA-PIT,Hoy Park,PIT,26,AAA,106,96,0.236,0.06,0.078,0.208,0.673,0.31,0.226,0.387,0.286,0.083,1,2,0,3,0,0.211,0.544,0.246,0.211,0.544,0.246,2022-06-03,0.11359979700825827
18032-AAA-MIL,Mark Mathias,MIL,27,AAA,115,169,0.209,0.237,0.077,0.13,1.012,0.406,0.34,0.435,0.577,0.179,5,6,1,4,0,0.384,0.356,0.26,0.384,0.356,0.26,2022-06-03,0.3673456146536205
18054-AAA-SEA,Sam Haggerty,SEA,28,AAA,146,123,0.171,0.208,0.117,0.082,0.89,0.34,0.304,0.378,0.512,0.147,5,9,1,13,1,0.337,0.396,0.267,0.337,0.396,0.267,2022-06-03,0.32600311042708696
18142-AAA-NYM,Patrick Mazeika,NYM,28,AAA,77,84,0.117,0.015,0.053,0.104,0.625,0.286,0.246,0.364,0.262,0.0,0,1,0,0,0,0.429,0.429,0.143,0.429,0.429,0.143,2022-06-03,0.04862672810682604
18365-AAA-MIA,Lewin Diaz,MIA,25,AAA,211,110,0.232,0.224,0.132,0.09,0.802,0.279,0.251,0.327,0.475,0.152,10,11,0,0,0,0.478,0.319,0.203,0.478,0.319,0.203,2022-06-03,0.30612586868668973
18371-AAA-MIN,Jermaine Palacios,MIN,25,AAA,163,90,0.233,0.114,0.131,0.086,0.701,0.333,0.262,0.325,0.376,0.13,3,8,0,6,2,0.215,0.561,0.224,0.215,0.561,0.224,2022-06-03,0.1933374416184897
18400-AAA-STL,Juan Yepez,STL,24,AAA,93,147,0.226,0.372,0.137,0.054,0.974,0.263,0.279,0.323,0.651,0.29,9,5,0,0,0,0.47,0.318,0.212,0.47,0.318,0.212,2022-06-03,0.4538092389502429
18401-AAA-ATL,Ronald Acuna Jr.,ATL,24,AAA,25,163,0.24,0.053,0.168,0.24,0.941,0.538,0.368,0.52,0.421,0.0,0,1,0,3,0,0.308,0.385,0.308,0.308,0.385,0.308,2022-06-03,0.15127686979541366
18433-AAA-CHC,P.J. Higgins,CHC,29,AAA,86,190,0.186,0.153,0.077,0.14,1.069,0.518,0.417,0.5,0.569,0.091,1,8,0,1,0,0.193,0.456,0.351,0.193,0.456,0.351,2022-06-03,0.3177336356875275
18848-AAA-TEX,Yohel Pozo,TEX,25,AAA,141,116,0.128,0.149,0.098,0.035,0.854,0.366,0.336,0.369,0.485,0.154,4,8,0,0,0,0.226,0.539,0.235,0.226,0.539,0.235,2022-06-03,0.281957616668724
18881-AAA-MIN,Curtis Terry,MIN,25,AAA,194,100,0.18,0.164,0.067,0.129,0.734,0.262,0.23,0.34,0.394,0.114,5,12,0,0,0,0.352,0.44,0.208,0.352,0.44,0.208,2022-06-03,0.24584449522686938
18887-AAA-CHW,Seby Zavala,CHW,28,AAA,149,147,0.362,0.27,0.186,0.154,0.937,0.422,0.278,0.389,0.548,0.229,8,10,0,0,0,0.486,0.208,0.306,0.486,0.208,0.306,2022-06-03,0.35819093905472116
18889-AAA-CHW,Danny Mendick,CHW,28,AAA,39,139,0.308,0.212,0.11,0.077,0.894,0.45,0.303,0.378,0.515,0.143,1,4,0,2,2,0.333,0.286,0.381,0.333,0.286,0.381,2022-06-03,0.31864990469730553
