idlevelorg,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Pull%,Cent%,Oppo%,Date,hmm
sa657706-AA-MIA,Santiago Chavez,MIA,26,AA,56,29,0.286,0.12,0.168,0.071,0.492,0.156,0.14,0.232,0.26,0.182,2,0,0,0,0,0.344,0.5,0.156,0.344,0.5,0.156,2022-06-03,0.15038662916886084
sa657922-AAA-STL,Clint Coulter,STL,28,AAA,53,53,0.283,0.0,0.115,0.075,0.484,0.25,0.163,0.321,0.163,0.0,0,0,0,0,0,0.5,0.357,0.143,0.5,0.357,0.143,2022-06-03,0.0
sa658616-AAA-SDP,C.J. Hinojosa,SDP,27,AAA,129,66,0.147,0.126,0.068,0.132,0.643,0.231,0.207,0.31,0.333,0.054,2,6,1,1,0,0.402,0.424,0.174,0.402,0.424,0.174,2022-06-03,0.19747038962630206
sa658811-AAA-DET,Josh Lester,DET,27,AAA,202,67,0.282,0.172,0.154,0.094,0.633,0.237,0.189,0.272,0.361,0.122,6,13,0,2,1,0.402,0.418,0.18,0.402,0.418,0.18,2022-06-03,0.2274845327247435
sa659077-AAA-CHW,Zach Remillard,CHW,28,AAA,166,107,0.199,0.108,0.115,0.133,0.751,0.33,0.273,0.37,0.381,0.091,3,6,0,8,2,0.306,0.463,0.231,0.306,0.463,0.231,2022-06-03,0.193299992309565
sa659238-AAA-TEX,Elier Hernandez,TEX,27,AAA,127,91,0.22,0.177,0.138,0.094,0.755,0.296,0.248,0.331,0.425,0.167,4,4,2,5,1,0.293,0.476,0.232,0.293,0.476,0.232,2022-06-03,0.2619862879106196
sa709546-AAA-MIN,Cole Sturgeon,MIN,30,AAA,59,71,0.136,0.077,0.067,0.085,0.618,0.273,0.231,0.31,0.308,0.0,0,4,0,1,1,0.432,0.386,0.182,0.432,0.386,0.182,2022-06-03,0.14901516641740514
sa709546-AA-MIN,Cole Sturgeon,MIN,30,AA,73,97,0.192,0.172,0.101,0.096,0.78,0.292,0.266,0.342,0.438,0.188,3,2,0,2,0,0.314,0.471,0.216,0.314,0.471,0.216,2022-06-03,0.26207857537030776
sa736824-AA-MIA,Ray-Patrick Didder,MIA,27,AA,155,82,0.258,0.131,0.107,0.09,0.675,0.273,0.215,0.329,0.346,0.1,4,5,0,13,2,0.435,0.424,0.141,0.435,0.424,0.141,2022-06-03,0.19352948252595056
sa736945-AAA-NYY,Michael Beltre,NYY,26,AAA,7,19,0.286,0.0,0.036,0.286,0.286,0.0,0.0,0.286,0.0,0.0,0,0,0,0,0,0.333,0.667,0.0,0.333,0.667,0.0,2022-06-03,0.0
sa736945-AA-NYY,Michael Beltre,NYY,26,AA,104,83,0.308,0.112,0.119,0.125,0.654,0.316,0.225,0.317,0.337,0.071,2,4,0,12,1,0.475,0.39,0.136,0.475,0.39,0.136,2022-06-03,0.17076620630975228
sa737626-AAA-STL,Ben DeLuzio,STL,27,AAA,158,123,0.215,0.216,0.126,0.095,0.836,0.306,0.266,0.354,0.482,0.2,7,7,1,13,1,0.34,0.456,0.204,0.34,0.456,0.204,2022-06-03,0.31009037827277086
sa737824-AAA-DET,Jamie Westbrook,DET,27,AAA,131,100,0.16,0.152,0.102,0.153,0.731,0.228,0.219,0.359,0.371,0.185,5,1,0,0,1,0.329,0.5,0.171,0.329,0.5,0.171,2022-06-03,0.2248295071156623
sa737824-AAA-MIL,Jamie Westbrook,MIL,27,AAA,12,215,0.0,0.1,0.068,0.083,1.145,0.5,0.5,0.545,0.6,0.0,0,1,0,0,0,0.3,0.4,0.3,0.3,0.4,0.3,2022-06-03,0.3570971667795759
sa738262-AAA-TBR,Ryan Boldt,TBR,27,AAA,120,82,0.3,0.15,0.158,0.05,0.69,0.338,0.248,0.292,0.398,0.12,3,6,1,4,1,0.329,0.447,0.224,0.329,0.447,0.224,2022-06-03,0.22293336031097855
sa738505-AAA-CIN,Chris Okey,CIN,27,AAA,63,54,0.317,0.105,0.138,0.095,0.568,0.297,0.193,0.27,0.298,0.0,0,2,2,0,0,0.189,0.541,0.27,0.189,0.541,0.27,2022-06-03,0.1568025039018312
sa738521-AAA-MIA,Charles Leblanc,MIA,26,AAA,194,130,0.268,0.18,0.125,0.103,0.859,0.395,0.302,0.376,0.483,0.156,7,10,0,2,0,0.375,0.417,0.208,0.375,0.417,0.208,2022-06-03,0.28070313184723866
