idlevelorg,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Date
sa3017077-A-NYM,Drake Osborn,NYM,23,A,100,93,0.15,0.151,0.072,0.09,0.672,0.225,0.221,0.3,0.372,0.083,3,4,0,1,0,0.486,0.297,0.216,2022-06-01
sa3017082-A-NYM,Justin Guerrera,NYM,22,A,126,90,0.373,0.145,0.141,0.119,0.647,0.317,0.2,0.302,0.345,0.097,3,5,1,0,0,0.5,0.339,0.161,2022-06-01
sa3017109-A-BOS,Tyler Miller,BOS,22,A,161,97,0.323,0.189,0.21,0.081,0.704,0.282,0.217,0.298,0.406,0.206,7,4,1,3,0,0.378,0.367,0.256,2022-06-01
sa3017113-A-BOS,Phillip Sikes,BOS,23,A,125,108,0.336,0.189,0.187,0.104,0.734,0.323,0.217,0.328,0.406,0.125,3,9,1,4,0,0.381,0.286,0.333,2022-06-01
sa3017114-A-BOS,Marcelo Mayer,BOS,19,A,87,150,0.276,0.179,0.166,0.092,0.904,0.463,0.333,0.391,0.513,0.091,1,11,0,4,0,0.204,0.352,0.444,2022-06-01
sa3017118-A-KCR,River Town,KCR,22,A,153,119,0.229,0.214,0.114,0.098,0.777,0.264,0.222,0.34,0.437,0.125,5,8,2,7,1,0.444,0.344,0.211,2022-06-01
sa3017151-A-MIA,Sam Praytor,MIA,23,A,11,144,0.273,0.0,0.143,0.091,0.788,0.5,0.333,0.455,0.333,0.0,0,0,0,0,0,0.0,0.667,0.333,2022-06-01
sa3017157-A-COL,EJ Andrews Jr.,COL,21,A,94,56,0.266,0.123,0.159,0.128,0.573,0.232,0.173,0.277,0.296,0.032,1,5,1,2,1,0.564,0.273,0.164,2022-06-01
sa3017169-A-COL,Benny Montgomery,COL,19,A,64,95,0.312,0.167,0.23,0.047,0.746,0.368,0.267,0.312,0.433,0.286,2,2,1,3,0,0.184,0.579,0.237,2022-06-01
sa3017171-A-TEX,Ian Moller,TEX,19,A,44,53,0.227,0.029,0.074,0.159,0.467,0.192,0.143,0.295,0.171,0.0,0,1,0,3,0,0.6,0.2,0.2,2022-06-01
sa3017172-A-CHW,Wes Kath,CHW,19,A,183,94,0.339,0.115,0.199,0.12,0.665,0.344,0.223,0.328,0.338,0.088,3,7,1,2,0,0.358,0.463,0.179,2022-06-01
sa3017173-A-COL,Hunter Goodman,COL,22,A,188,125,0.282,0.295,0.192,0.043,0.897,0.321,0.277,0.324,0.572,0.25,13,10,1,1,1,0.433,0.433,0.133,2022-06-01
sa3017179-A-LAD,Damon Keith,LAD,22,A,188,168,0.245,0.216,0.104,0.149,1.006,0.451,0.333,0.457,0.549,0.172,5,12,3,3,2,0.29,0.46,0.25,2022-06-01
sa3017181-A-BAL,Trendon Craig,BAL,21,A,69,83,0.348,0.109,0.162,0.188,0.606,0.267,0.164,0.333,0.273,0.2,1,1,1,2,1,0.167,0.7,0.133,2022-06-01
sa3017183-A-ATL,Caleb Durbin,ATL,22,A,170,133,0.106,0.137,0.06,0.112,0.811,0.303,0.281,0.394,0.417,0.049,2,11,1,16,1,0.342,0.492,0.167,2022-06-01
sa3017215-A-HOU,Quincy Hamilton,HOU,24,A,160,149,0.169,0.194,0.073,0.125,0.885,0.324,0.291,0.4,0.485,0.158,6,8,0,8,0,0.362,0.448,0.19,2022-06-01
sa3017220-A-BAL,Ryan Higgins,BAL,22,A,150,80,0.3,0.124,0.147,0.12,0.61,0.268,0.186,0.3,0.31,0.054,2,6,2,4,2,0.446,0.422,0.133,2022-06-01
sa3017221-A-ATL,Adam Zebrowski,ATL,21,A,137,111,0.234,0.175,0.141,0.153,0.738,0.266,0.219,0.343,0.395,0.133,4,6,1,2,0,0.366,0.439,0.195,2022-06-01
sa3017282-A-SFG,Vaun Brown,SFG,24,A,188,184,0.25,0.294,0.162,0.101,1.103,0.457,0.362,0.447,0.656,0.289,11,9,3,18,1,0.333,0.36,0.307,2022-06-01
sa3017284-A-OAK,Shane McGuire,OAK,23,A,55,94,0.164,0.045,0.085,0.182,0.655,0.286,0.227,0.382,0.273,0.0,0,2,0,0,0,0.25,0.594,0.156,2022-06-01
sa3017287-A-CHC,BJ Murray Jr.,CHC,22,A,118,156,0.212,0.194,0.106,0.127,0.915,0.38,0.306,0.415,0.5,0.115,3,10,0,0,0,0.361,0.444,0.194,2022-06-01
sa3017289-A-CHC,Liam Spence,CHC,24,A,85,59,0.259,0.045,0.117,0.165,0.498,0.217,0.152,0.301,0.197,0.0,0,3,0,2,0,0.333,0.511,0.156,2022-06-01
sa3017290-A-OAK,Max Muncy,OAK,19,A,197,104,0.31,0.222,0.131,0.127,0.775,0.293,0.222,0.332,0.443,0.216,8,11,1,4,1,0.359,0.456,0.184,2022-06-01
sa3017291-A-CHC,Peter Matt,CHC,24,A,83,78,0.277,0.108,0.125,0.084,0.627,0.294,0.23,0.289,0.338,0.167,2,2,0,0,0,0.245,0.551,0.204,2022-06-01
sa3017295-A-CHC,James Triantos,CHC,19,A,190,122,0.158,0.089,0.078,0.1,0.772,0.362,0.304,0.379,0.393,0.033,1,8,2,8,0,0.221,0.529,0.25,2022-06-01
sa3017325-A-BOS,Kier Meredith,BOS,22,A,61,149,0.164,0.022,0.099,0.131,0.801,0.389,0.304,0.475,0.326,0.0,0,1,0,6,0,0.056,0.75,0.194,2022-06-01
sa3017332-A-COL,Braiden Ward,COL,23,A,150,176,0.167,0.167,0.11,0.087,1.02,0.435,0.367,0.487,0.533,0.111,4,6,1,26,0,0.379,0.463,0.158,2022-06-01
sa3017333-A-PIT,Luke Brown,PIT,23,A,89,106,0.213,0.069,0.097,0.169,0.662,0.288,0.222,0.371,0.292,0.059,1,2,0,2,0,0.354,0.458,0.188,2022-06-01
sa3017337-A-BOS,Niko Kavadas,BOS,23,A,172,149,0.285,0.206,0.124,0.198,0.869,0.354,0.244,0.419,0.45,0.129,4,13,1,1,1,0.383,0.259,0.358,2022-06-01
sa3017338-A-CHW,Terrell Tatum,CHW,22,A,36,179,0.306,0.08,0.104,0.306,0.928,0.571,0.32,0.528,0.4,0.0,0,2,0,6,1,0.214,0.643,0.143,2022-06-01
sa3017370-A-DET,Josh Crouch,DET,23,A,43,144,0.233,0.083,0.139,0.116,0.835,0.444,0.333,0.419,0.417,0.0,0,3,0,0,0,0.185,0.481,0.333,2022-06-01
sa3017374-A-MIA,Joe Mack,MIA,19,A,16,197,0.188,0.308,0.1,0.188,1.053,0.333,0.308,0.438,0.615,0.25,1,1,0,0,0,0.4,0.2,0.4,2022-06-01
sa3017398-A-BOS,Nathan Hickey,BOS,22,A,119,161,0.218,0.213,0.08,0.235,0.929,0.333,0.27,0.445,0.483,0.25,4,7,0,0,0,0.267,0.383,0.35,2022-06-01
sa3017399-A-OAK,Mariano Ricciardi,OAK,24,A,67,49,0.194,0.036,0.093,0.164,0.499,0.209,0.164,0.299,0.2,0.0,0,2,0,1,1,0.238,0.69,0.071,2022-06-01
sa3017402-A-NYM,Jack-Thomas Wold,NYM,22,A,96,48,0.188,0.086,0.168,0.021,0.519,0.243,0.204,0.229,0.29,0.04,1,5,0,0,1,0.338,0.514,0.149,2022-06-01
sa3017403-A-CIN,Jay Allen II,CIN,19,A,174,124,0.195,0.104,0.127,0.155,0.733,0.3,0.237,0.392,0.341,0.071,2,8,0,20,4,0.286,0.52,0.194,2022-06-01
