idlevelorg,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Date
sa3007069-AA-BAL,Greg Cullen,BAL,25,AA,17,61,0.294,0.0,0.068,0.235,0.444,0.143,0.091,0.353,0.091,0.0,0,0,0,0,0,0.429,0.429,0.143,2022-06-01
sa3007070-AA-ATL,Justin Dean,ATL,25,AA,31,70,0.258,0.148,0.089,0.032,0.661,0.3,0.222,0.29,0.37,0.0,0,2,1,2,0,0.45,0.45,0.1,2022-06-01
sa3007078-AA-TBR,Jordan Qsar,TBR,26,AA,113,121,0.389,0.314,0.146,0.088,0.877,0.353,0.245,0.319,0.559,0.25,7,5,3,4,0,0.483,0.31,0.207,2022-06-01
sa3007301-AA-MIN,DaShawn Keirsey,MIN,25,AA,134,71,0.276,0.103,0.168,0.112,0.648,0.316,0.224,0.321,0.328,0.071,1,9,0,13,1,0.175,0.612,0.212,2022-06-01
sa3007510-AA-KCR,Tyler Cropley,KCR,26,AA,9,0,0.111,0.0,0.091,0.0,0.347,0.143,0.125,0.222,0.125,0.0,0,0,0,0,0,0.429,0.286,0.286,2022-06-01
sa3007511-AA-OAK,Max Schuemann,OAK,25,AA,198,138,0.232,0.128,0.115,0.131,0.899,0.432,0.327,0.444,0.455,0.079,3,7,2,15,3,0.336,0.425,0.239,2022-06-01
sa3007635-AA-DET,Jon Rosoff,DET,27,AA,17,75,0.059,0.0,0.109,0.176,0.567,0.231,0.214,0.353,0.214,0.0,0,0,0,0,0,0.308,0.615,0.077,2022-06-01
sa3007740-AA-LAA,Jeremiah Jackson,LAA,22,AA,25,96,0.28,0.238,0.171,0.12,0.749,0.231,0.19,0.32,0.429,0.125,1,2,0,2,0,0.571,0.357,0.071,2022-06-01
sa3007742-AA-ARI,Blaze Alexander,ARI,23,AA,135,128,0.281,0.231,0.179,0.096,0.902,0.384,0.291,0.381,0.521,0.333,6,7,1,5,2,0.231,0.487,0.282,2022-06-01
sa3007745-AA-BOS,Brandon Howlett,BOS,22,AA,83,38,0.482,0.041,0.149,0.12,0.471,0.364,0.164,0.265,0.205,0.0,0,1,1,0,0,0.242,0.576,0.182,2022-06-01
sa3007750-AA-KCR,Logan Porter,KCR,26,AA,132,144,0.227,0.159,0.105,0.174,0.924,0.411,0.318,0.447,0.477,0.143,4,5,0,0,0,0.364,0.455,0.182,2022-06-01
sa3007822-AA-BOS,Elih Marrero,BOS,25,AA,99,68,0.303,0.06,0.11,0.152,0.569,0.302,0.193,0.316,0.253,0.0,0,5,0,7,2,0.245,0.585,0.17,2022-06-01
sa3007828-AA-COL,Willie MacIver,COL,25,AA,153,87,0.281,0.23,0.151,0.078,0.7,0.225,0.201,0.268,0.432,0.222,8,8,0,5,1,0.383,0.447,0.17,2022-06-01
