Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Derek Dietrich","NYY","AA",32,18,62,77,18,6,5,0,7,17,18,9,0,23,5,0,0,2,0,0,0.29032258,77,0.11688312,0.2987013,0.39130435,0.29032258,0.42105263,0.70967742,1.13073005,0.41935484,2.642857142857143,0.34375,-0.13802693225443363,19.069234974124715,9.43206231985359,0.47385797845689875,197.87167521247392,0.34375,0.14814815,0.18421053,0.10526316,0.71052632,0.18518519,0.25925926,0.35,0.45,0.2,0.14375,121,199,320,"10542"
"David Freitas","NYY","AAA",33,36,113,127,27,19,6,0,2,9,9,12,0,23,0,1,1,7,0,0,0.23893805,127,0.09448819,0.18110236,0.52173913,0.23893805,0.30952381,0.34513274,0.65465655,0.10619469,0.7002895803571431,0.28089888,-0.21933992905542254,12.574471808780732,-3.8303302155837398,0.29756756954722935,76.65116464133538,0.28089888,1.12121212,0.21348315,0.41573034,0.37078652,0.12121212,0.06060606,0.41758242,0.21978022,0.36263736,0.08754864,205,309,514,"10619"
"Carlos Perez","COL","AAA",31,83,325,375,88,41,22,1,24,59,67,41,0,67,6,3,3,7,0,0,0.27076923,375,0.10933333,0.17866667,0.6119403,0.27076923,0.36,0.56615385,0.92615385,0.29538462,2.351190455357143,0.27004219,-0.3728151358664036,67.69005809817881,12.61593070719808,0.38777603769302366,122.90718220124566,0.27004219,0.63636364,0.2265625,0.30078125,0.47265625,0.30578512,0.19834711,0.51340996,0.25287356,0.23371648,0.07560815,591,930,1521,"10642"
"Rob Brantly","NYY","AAA",32,38,115,126,29,22,5,1,1,10,12,8,0,18,2,1,1,3,0,0,0.25217391,126,0.06349206,0.14285714,0.44444444,0.25217391,0.30952381,0.33913043,0.64865424,0.08695652,2.3303571428571432,0.28865979,-0.22641541063785553,12.189032399033678,-4.086597955847608,0.2948690510931469,74.89130763760568,0.28865979,1.17142857,0.20833333,0.42708333,0.36458333,0.14285714,0.02857143,0.46938776,0.21428571,0.31632653,0.11520737,144,290,434,"10655"
"Ryan LaMarre","NYY","AAA",33,26,65,78,14,9,5,0,0,12,4,7,0,17,6,0,0,0,5,1,0.21538462,78,0.08974359,0.21794872,0.41176471,0.21538462,0.34615385,0.29230769,0.63846154,0.07692307,6.5871891309682855,0.29166667,0.3921949462965131,8.444432652651132,-1.6309575670372838,0.3085485154237503,83.81246253023318,0.29166667,1.84615385,0.21276596,0.5106383,0.27659574,0.46153846,0,0.625,0.1875,0.1875,0.09122807,118,167,285,"10700"
"Corey Dickerson","STL","AAA",33,5,13,14,4,2,1,0,1,2,2,1,0,2,0,0,0,0,0,0,0.30769231,14,0.07142857,0.14285714,0.5,0.30769231,0.35714286,0.61538462,0.97252748,0.30769231,1.080357142857143,0.3,-0.021226444747298956,2.760208540607097,0.9518051678425093,0.4140751191547939,152.6323486328961,0.3,0.75,0.36363636,0.27272727,0.36363636,0,0.25,0.27272727,0.45454545,0.27272727,0.09756098,14,27,41,"10762"
"Andrelton Simmons","CHC","AAA",32,12,45,50,6,5,0,0,1,3,2,4,0,13,1,0,0,1,1,2,0.13333333,50,0.08,0.26,0.30769231,0.13333333,0.22,0.2,0.42,0.06666667,2.8258541210748236,0.16129032,-0.7750437604263425,0.9918764177181967,-5.466707056441044,0.203581463098526,15.357491649472196,0.16129032,1.5,0.21875,0.46875,0.3125,0.2,0.1,0.5,0.15625,0.34375,0.1027027,67,118,185,"10847"
"Phil Gosselin","ATL","AAA",33,49,182,204,54,34,13,2,5,25,24,16,0,40,3,3,3,3,4,0,0.2967033,204,0.07843137,0.19607843,0.4,0.2967033,0.35784314,0.47252747,0.83037061,0.17582417,5.992398760915429,0.35,0.42499948805198073,31.61500219491266,5.263981620342953,0.3640013249481426,119.97638613444447,0.35,1.52272727,0.21830986,0.47183099,0.30985915,0.20454545,0.11363636,0.46896552,0.16551724,0.36551724,0.08915663,296,534,830,"10953"
"Kevin Kiermaier","TBR","CPX",32,1,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0.33333333,0,1,0,0.33333333,0,0.33333333,0,2.642857142857143,0,-0.0007193709025159478,0.19654311271527206,-0.20476855305811967,0.25688181320826214,48.97518050877043,0,0,0,0,1,0,0,0,1,0,0,4,2,6,"11038"
"Elliot Soto","MIN","AAA",32,71,238,270,52,34,13,1,4,37,27,32,0,66,0,0,0,9,7,1,0.21848739,270,0.11851852,0.24444444,0.48484848,0.21848739,0.31111111,0.33193277,0.64304388,0.11344538,5.9409314462296585,0.28571429,0.4808737626299262,26.437465701000974,-8.438885059458926,0.2962676560437238,75.80341728577211,0.28571429,1.93478261,0.18181818,0.53939394,0.27878788,0.19565217,0.08695652,0.46153846,0.24852071,0.28994083,0.09926471,418,670,1088,"11155"
