Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Richard Urena","WSN","AAA",26,37,134,142,31,23,6,0,2,9,21,6,0,29,1,1,1,2,2,0,0.23134328,142,0.04225352,0.20422535,0.20689655,0.23134328,0.26760563,0.32089552,0.58850115,0.08955224,3.2684637004221635,0.27884615,0.18773555848747492,10.084498700688924,-8.25787836592332,0.26433640340684167,54.97923559234456,0.27884615,0.91304348,0.16190476,0.4,0.43809524,0.13043478,0.04347826,0.4245283,0.21698113,0.35849057,0.14230019,171,342,513,"16411"
"Jason Martin","LAD","AAA",26,96,347,405,99,51,19,5,24,77,82,53,0,100,1,4,4,8,4,5,0.28530259,405,0.1308642,0.24691358,0.53,0.28530259,0.37777778,0.57636888,0.95414666,0.29106629,5.708412592670863,0.33039648,-2.229106170590967,77.63832592593555,18.15826834367637,0.39983779191970825,130.5283301358006,0.33039648,1.1954023,0.21721311,0.42622951,0.35655738,0.17241379,0.27586207,0.35856574,0.26294821,0.37848606,0.1126506,662,998,1660,"16429"
"Christian Arroyo","BOS","AAA",27,2,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0.5,0,0,0,0,0,0,0.142857142857143,0,0,-0.9099591164239011,-1.68498913332301,0,-100,0,0.5,0,0.33333333,0.66666667,0.5,0,0,0.66666667,0.33333333,0.17241379,7,22,29,"16434"
"Christian Arroyo","BOS","AA",27,2,4,6,2,2,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0.5,6,0.33333333,0,2,0.5,0.66666667,0.5,1.16666667,0,5.223214285714286,0.5,0.1723946165293455,1.8066411117864831,1.05569259327185,0.5385189453760783,240.58122058220405,0.5,2,0.25,0.5,0.25,0,0,0.5,0.25,0.25,0.04166667,14,10,24,"16434"
"Johneshwy Fargas","NYM","AA",27,37,122,150,25,18,4,0,3,24,11,17,0,32,8,2,2,4,18,0,0.20491803,150,0.11333333,0.21333333,0.53125,0.20491803,0.33557047,0.31147541,0.64704588,0.10655738,7.5,0.24719101,3.303242149297148,16.20094815782418,-2.5727648050416496,0.3049356401366675,86.2959191390081,0.24719101,0.85365854,0.15555556,0.38888889,0.45555556,0.3902439,0.07317073,0.51612903,0.29032258,0.19354839,0.11433447,224,362,586,"16446"
"Johneshwy Fargas","NYM","AAA",27,38,132,146,30,20,5,0,5,22,21,6,1,39,5,1,1,1,10,2,0.22727273,146,0.04109589,0.26712329,0.15384615,0.22727273,0.28472222,0.37878788,0.6635101,0.15151515,6.841413745506225,0.28089888,0.883446634747088,13.830110006486343,-5.028953738058641,0.29248115066048147,73.33402227078598,0.28089888,1.29411765,0.16129032,0.47311828,0.3655914,0.17647059,0.14705882,0.53061224,0.25510204,0.21428571,0.13461538,162,358,520,"16446"
"Jacob Nottingham","BAL","AAA",27,67,225,263,49,29,8,1,11,33,37,28,0,73,7,3,3,4,10,1,0.21777778,263,0.10646388,0.27756654,0.38356164,0.21777778,0.31939163,0.40888889,0.72828052,0.19111111,6.0486965761088545,0.26388889,1.095024734735489,32.12407912184038,-1.8480699522372288,0.32502857428539844,94.5600440283968,0.26388889,1,0.2,0.4,0.4,0.25806452,0.17741935,0.44516129,0.24516129,0.30967742,0.15467626,430,682,1112,"16448"
"Danny Jansen","TOR","AAA",27,5,17,18,5,3,1,0,1,2,1,1,0,6,0,0,0,1,0,0,0.29411765,18,0.05555556,0.33333333,0.16666667,0.29411765,0.33333333,0.52941176,0.86274509,0.23529411,0.767857142857143,0.4,-0.02830192632973194,2.9179728743583033,0.5928828236609769,0.372470090786616,125.49934887395709,0.4,2.5,0.36363636,0.45454545,0.18181818,1,0.5,0.63636364,0.27272727,0.09090909,0.09859155,25,46,71,"16535"
"Danny Jansen","TOR","A",27,3,10,11,3,1,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0.3,11,0,0,0,0.3,0.36363636,0.5,0.86363636,0.2,2.642857142857143,0.3,-0.01241285726428032,1.8921137184002101,0.6077878058054149,0.396651338447224,147.32348696270304,0.3,0,0.3,0,0.7,0.57142857,0,0.5,0.4,0.1,0.08571429,14,21,35,"16535"
"Shed Long Jr.","BAL","A+",26,5,16,20,3,2,0,1,0,1,0,4,0,8,0,0,0,0,0,0,0.1875,20,0.2,0.4,0.5,0.1875,0.35,0.3125,0.6625,0.125,2.9107142678571427,0.375,-0.04162279050797224,2.3737160648770277,-0.25108056407499885,0.32020449042320254,90.43428502972267,0.375,2,0.25,0.5,0.25,0,0,0.375,0.25,0.375,0.11688312,35,42,77,"16542"
"Shed Long Jr.","BAL","A",26,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.142857142857143,0,-0.011090395972132683,0.4851664395094964,0.35573593685637445,0.782981812953949,374.84706430427656,0,0,0,0,0,0,0,,,,0,3,0,3,"16542"
"Shed Long Jr.","BAL","AAA",26,22,76,88,16,11,5,0,0,9,11,11,0,24,1,0,0,1,2,2,0.21052632,88,0.125,0.27272727,0.45833333,0.21052632,0.31818182,0.27631579,0.59449761,0.06578947,3.408251270625104,0.30769231,-0.6670250180177391,7.722237922197937,-3.6448689923223268,0.2842023487795483,67.93494580695466,0.30769231,1.64705882,0.11764706,0.54901961,0.33333333,0.11764706,0,0.32692308,0.15384615,0.51923077,0.10054348,158,210,368,"16542"
"Shed Long Jr.","BAL","CPX",26,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0.66666667,0,0,0,0,0,0,0.142857142857143,0,0,-0.4131890430263834,-0.8145007087997751,0,-100,0,1,0,1,0,0,0,0,0,1,0.25,1,7,8,"16542"
"Kevin Padlo","SFG","AAA",25,22,80,87,22,11,3,1,7,16,16,5,0,18,2,0,0,2,3,0,0.275,87,0.05747126,0.20689655,0.27777778,0.275,0.33333333,0.6,0.93333333,0.325,8.011682528043476,0.27272727,0.5237423675134778,15.443241426874257,2.6660438721667283,0.3845449501070483,120.86563865629888,0.27272727,0.92307692,0.18032787,0.39344262,0.42622951,0.26923077,0.26923077,0.56451613,0.17741935,0.25806452,0.12714777,109,182,291,"16593"
"Kevin Padlo","PIT","AAA",25,3,10,11,5,3,1,0,1,3,5,1,0,4,0,0,0,1,0,0,0.5,11,0.09090909,0.36363636,0.25,0.5,0.54545455,0.9,1.44545455,0.4,2.017857142857143,0.8,-0.02830192632973194,3.979591843519521,2.5587034792044885,0.6094965121962808,280.0777276713052,0.8,4,0.16666667,0.66666667,0.16666667,0,1,0.33333333,0.33333333,0.33333333,0.17777778,14,31,45,"16593"
"Kevin Padlo","SEA","AAA",25,38,140,161,32,21,6,1,4,18,20,18,0,41,2,1,1,3,7,2,0.22857143,161,0.11180124,0.25465839,0.43902439,0.22857143,0.32298137,0.37142857,0.69440994,0.14285714,6.080238887682086,0.29166667,0.1925940834917128,17.774323783516188,-5.870834909678201,0.3122256083518082,75.1710911064092,0.29166667,1.02380952,0.15,0.43,0.42,0.19047619,0.0952381,0.48,0.23,0.29,0.12398042,234,379,613,"16593"
"Luis Urias","MIL","AA",25,7,27,31,4,3,1,0,0,4,2,3,0,7,1,0,0,0,0,0,0.14814815,31,0.09677419,0.22580645,0.42857143,0.14814815,0.25806452,0.18518519,0.44324971,0.03703704,2.642857142857143,0.2,-0.05139515083283186,1.054084320967589,-3.0042132684536833,0.22559291508889967,25.97355905380771,0.2,1.28571429,0.15789474,0.47368421,0.36842105,0.42857143,0,0.55,0.25,0.2,0.12977099,49,82,131,"16622"
"Greg Allen","PIT","AAA",29,4,14,16,6,3,2,0,1,4,3,0,0,3,2,0,0,0,0,0,0.42857143,16,0,0.1875,0,0.42857143,0.5,0.78571429,1.28571429,0.35714286,2.642857142857143,0.5,-0.035377407912164927,4.945100032077702,2.8783533203467453,0.5469226576387882,239.26976653738308,0.5,1.33333333,0.36363636,0.36363636,0.27272727,0,0.33333333,0.36363636,0.36363636,0.27272727,0.12244898,11,38,49,"16623"
"Greg Allen","PIT","A",29,3,9,11,3,3,0,0,0,1,0,1,0,3,1,0,0,0,0,0,0.33333333,11,0.09090909,0.27272727,0.33333333,0.33333333,0.45454545,0.33333333,0.78787878,0,1.080357142857143,0.5,-0.031032143160700798,1.844435260583099,0.5601093479883038,0.39091927354986017,143.61115371850462,0.5,3,0.4,0.6,0,0,0,0.66666667,0.16666667,0.16666667,0.14893617,21,26,47,"16623"
"Jason Vosler","SFG","AAA",28,64,242,274,57,37,6,1,13,38,34,29,0,72,1,0,0,4,3,0,0.23553719,274,0.10583942,0.26277372,0.40277778,0.23553719,0.31985294,0.42975207,0.74960501,0.19421488,4.802931353891125,0.28025478,0.31615212140604854,33.972469123618716,-6.268359956724534,0.3268681363586117,84.42288566120402,0.28025478,0.64634146,0.20588235,0.31176471,0.48235294,0.20731707,0.15853659,0.4127907,0.26162791,0.3255814,0.11498258,435,713,1148,"16686"
"John Nogowski","ATL","AAA",29,40,124,148,29,22,5,0,2,14,14,18,0,29,3,3,3,5,6,1,0.23387097,148,0.12162162,0.19594595,0.62068966,0.23387097,0.33783784,0.32258065,0.66041849,0.08870968,4.397428953495104,0.28125,0.44360983604565263,15.927384844029918,-3.1900222394814346,0.3077834506292601,83.31352036630109,0.28125,0.97435897,0.20618557,0.39175258,0.40206186,0.15384615,0.05128205,0.42857143,0.2755102,0.29591837,0.07692308,240,358,598,"16852"
"John Nogowski","WSN","AAA",29,9,33,37,15,12,2,0,1,6,7,4,0,5,0,0,0,0,1,0,0.45454545,37,0.10810811,0.13513514,0.8,0.45454545,0.51351351,0.60606061,1.11957412,0.15151516,4.142501413458126,0.51851852,0.08679229766130447,9.80868439262007,5.02933262174223,0.49472764053860224,205.2304342272441,0.51851852,4,0.31818182,0.54545455,0.13636364,0.33333333,0.33333333,0.43478261,0.13043478,0.43478261,0.048,58,67,125,"16852"
"John Nogowski","WSN","AA",29,30,109,132,22,14,4,0,4,18,17,20,0,13,2,1,1,2,1,2,0.20183486,132,0.15151515,0.09848485,1.53846154,0.20183486,0.33333333,0.34862385,0.68195718,0.14678899,2.73850392926776,0.19354839,-0.922617943957448,15.309580543012824,-1.2112868643091064,0.3145829908775561,92.66814002894138,0.19354839,0.82051282,0.26041667,0.33333333,0.40625,0.23076923,0.1025641,0.43298969,0.25773196,0.30927835,0.05152672,216,308,524,"16852"
"Joshua Fuentes","TOR","AAA",29,29,105,112,17,15,1,0,1,11,5,4,0,43,2,1,1,0,1,0,0.16190476,112,0.03571429,0.38392857,0.09302326,0.16190476,0.20535714,0.2,0.40535714,0.03809524,4.700844776756465,0.25806452,0.05141488974913955,0.9318104623173755,-13.535416519799323,0.1899088988346713,6.440836681896328,0.25806452,0.70967742,0.13114754,0.36065574,0.50819672,0.29032258,0.03225806,0.44615385,0.23076923,0.32307692,0.18957346,144,278,422,"16885"
"Colin Moran","CIN","AAA",29,45,160,178,42,25,11,0,6,19,23,18,0,44,0,0,0,4,0,0,0.2625,178,0.1011236,0.24719101,0.40909091,0.2625,0.33707865,0.44375,0.78082865,0.18125,1.022486767857143,0.32727273,-0.30424570804461837,24.87733755388088,1.8847803858739829,0.34593966067507026,108.19735000375066,0.32727273,1.14634146,0.22807018,0.4122807,0.35964912,0.14634146,0.14634146,0.39316239,0.2991453,0.30769231,0.12855007,240,429,669,"16909"
"Derek Hill","DET","AAA",26,30,120,131,26,18,5,1,2,18,10,9,0,32,0,1,1,0,2,1,0.21666667,131,0.06870229,0.24427481,0.28125,0.21666667,0.26923077,0.325,0.59423077,0.10833333,6.027321335675278,0.27586207,-0.24318247055634856,9.619638130913147,-7.301850571384064,0.2672029165121225,56.84865144050366,0.27586207,1.80769231,0.16091954,0.54022989,0.29885057,0.19230769,0.07692308,0.43333333,0.18888889,0.37777778,0.12024048,184,315,499,"16947"
"Derek Hill","SEA","AAA",26,5,14,16,3,2,0,1,0,2,2,1,0,4,1,0,0,0,0,0,0.21428571,16,0.0625,0.25,0.25,0.21428571,0.3125,0.35714286,0.66964286,0.14285715,5.142857142857142,0.3,-0.01694614253938198,1.6263117526307815,-0.7235176827177292,0.3027908243238926,69.20977872547495,0.3,7,0.3,0.7,0,0,0,0.6,0.1,0.3,0.1372549,17,34,51,"16947"
"Derek Hill","DET","A",26,3,9,12,0,0,0,0,0,2,0,2,0,3,1,0,0,0,1,0,0,12,0.16666667,0.25,0.66666667,0,0.25,0,0.25,0,7.5,0,0.18138071708381176,0.1468672651708483,-1.2542155485689284,0.18536052107810974,10.482411441392928,0,1,0,0.5,0.5,0.33333333,0,0.66666667,0,0.33333333,0.13461538,22,30,52,"16947"
"Chadwick Tromp","ATL","AAA",27,68,243,259,63,40,11,0,12,33,41,15,0,53,0,1,1,11,0,1,0.25925926,259,0.05791506,0.2046332,0.28301887,0.25925926,0.3011583,0.4526749,0.7538332,0.19341564,1.8452077029230305,0.2849162,-0.8412959608249366,32.315723392215745,-1.1397390039291202,0.3281462615981525,96.59326482942151,0.2849162,0.97368421,0.20634921,0.39153439,0.4021164,0.27631579,0.15789474,0.46073298,0.23036649,0.30890052,0.10673575,317,648,965,"16953"
"Eddy Alvarez","LAD","AAA",32,47,177,215,57,36,9,4,8,40,29,28,0,55,9,0,0,2,3,3,0.3220339,215,0.13023256,0.25581395,0.50909091,0.3220339,0.43925234,0.55367232,0.99292466,0.23163842,5.96063589975011,0.42982456,-1.2598290569148958,47.54635320183868,15.970520164343066,0.431570259767158,150.57830191012985,0.42982456,1.14285714,0.25619835,0.39669421,0.34710744,0.0952381,0.19047619,0.46341463,0.24390244,0.29268293,0.09846827,356,558,914,"16959"
"Edmundo Sosa","STL","AA",26,2,8,9,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.375,9,0,0,0,0.375,0.44444444,0.375,0.81944444,0,1.601190455357143,0.375,-0.02194794826209545,1.6160114600958537,0.35009409931323043,0.39358342356152004,127.65536757445155,0.375,2,0.25,0.5,0.25,0,0,0.5,0.5,0,0.03846154,9,17,26,"17022"
"Magneuris Sierra","LAA","AAA",26,76,279,311,83,62,10,4,7,49,45,24,0,51,4,3,3,3,22,5,0.29749104,311,0.07717042,0.16398714,0.47058824,0.29749104,0.35806452,0.43727599,0.79534051,0.13978495,7.846422627905447,0.33928571,1.4344419175758958,45.25693040527589,-0.41787924431079304,0.35007356635985837,99.08509910053984,0.33928571,2.01754386,0.24229075,0.50660793,0.25110132,0.14035088,0.12280702,0.43290043,0.26839827,0.2987013,0.09,386,714,1100,"17023"
"Grayson Greiner","ARI","AAA",29,43,144,162,33,21,6,0,6,19,18,18,1,63,0,0,0,2,1,0,0.22916667,162,0.11111111,0.38888889,0.28571429,0.22916667,0.31481481,0.39583333,0.71064814,0.16666666,2.883929707567831,0.36,0.03901164885610342,17.813182406471743,-5.978840626431929,0.3117497111699596,74.87039829205206,0.36,1.2,0.3125,0.375,0.3125,0.2,0.24,0.4691358,0.16049383,0.37037037,0.16716867,249,415,664,"17062"
"Meibrys Viloria","TEX","AAA",25,38,125,155,43,28,12,0,3,30,21,27,1,32,3,0,0,7,2,0,0.344,155,0.17419355,0.20645161,0.84375,0.344,0.47096774,0.512,0.98296774,0.168,4.218027438932662,0.44444444,0.15851747477427125,35.07431012634792,12.310337471409216,0.43710937592890353,154.07815963413776,0.44444444,2.08333333,0.19565217,0.54347826,0.26086957,0.16666667,0.125,0.38297872,0.26595745,0.35106383,0.07142857,321,365,686,"17109"
"Ramon Laureano","OAK","AAA",27,10,37,44,5,3,2,0,0,10,2,5,0,11,2,0,0,1,2,0,0.13513514,44,0.11363636,0.25,0.45454545,0.13513514,0.27272727,0.18918919,0.46191646,0.05405405,6.702159930123237,0.19230769,0.3576346496120095,1.7798925939080368,-4.682138353300368,0.23684746433388104,27.543857472192236,0.19230769,0.72727273,0.20833333,0.33333333,0.45833333,0.18181818,0,0.30769231,0.42307692,0.26923077,0.10784314,87,117,204,"17128"
"Chad Wallach","LAA","AAA",30,67,244,282,50,28,13,1,8,30,33,30,0,72,5,3,3,8,1,0,0.20491803,282,0.10638298,0.25531915,0.41666667,0.20491803,0.30141844,0.3647541,0.66617254,0.15983607,3.562531599492239,0.25149701,-0.06690174201503396,27.251570632385135,-14.164173165632366,0.297394316247169,65.80002707494444,0.25149701,1.25806452,0.1954023,0.44827586,0.35632184,0.19354839,0.12903226,0.49142857,0.27428571,0.23428571,0.14170404,442,673,1115,"17161"
"Monte Harrison","LAA","AAA",26,60,208,242,50,30,12,1,7,36,32,31,0,84,1,2,2,3,20,3,0.24038462,242,0.12809917,0.34710744,0.36904762,0.24038462,0.33884298,0.40865385,0.74749683,0.16826923,7.374087117034783,0.36134454,2.1867728857323527,31.079383851390048,-4.46178635825618,0.33165295779212445,87.44614673085466,0.36134454,2.03333333,0.25409836,0.5,0.24590164,0.13333333,0.23333333,0.42857143,0.30952381,0.26190476,0.16851665,407,584,991,"17216"
"Yoan Moncada","CHW","AAA",27,6,22,25,7,4,1,0,2,5,5,2,1,7,0,1,1,1,0,1,0.31818182,25,0.08,0.28,0.28571429,0.31818182,0.36,0.63636364,0.99636364,0.31818182,3.5116010433834512,0.35714286,-0.48752188170328736,4.63880105186673,1.4095093147871098,0.40029818813006085,143.64763017855384,0.35714286,1.25,0.35714286,0.35714286,0.28571429,0,0.5,0.4375,0.1875,0.375,0.12962963,44,64,108,"17232"
"Alex Jackson","MIL","AAA",26,31,102,119,23,12,8,1,2,9,18,12,0,28,3,2,2,1,1,0,0.2254902,119,0.10084034,0.23529412,0.42857143,0.2254902,0.31932773,0.38235294,0.70168067,0.15686274,4.51892101177178,0.28378378,0.008962000254541636,13.552675395993344,-1.8187532725056499,0.31522712386956736,88.16796205655977,0.28378378,0.90322581,0.23376623,0.36363636,0.4025974,0.16129032,0.06451613,0.48684211,0.22368421,0.28947368,0.1663067,151,312,463,"17276"
"Alex Jackson","MIA","AAA",26,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0.25,0,0,0,0,0,0,0.142857142857143,0,0,-0.6066394109492674,-1.1233260888820067,0,-100,0,0,0,0,1,0.66666667,0,0.66666667,0,0.33333333,0.08333333,4,8,12,"17276"
"Alex Jackson","MIL","CPX",26,1,1,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0.5,0,1,1,1,2,3,1,2.642857142857143,1,-0.002973866183310747,1.419264824248557,1.14418789849401,1.0364437401294708,515.9519724729569,1,0,0,0,1,0,0,0,1,0,0,7,2,9,"17276"
"Bobby Bradley","CLE","AAA",26,47,167,198,29,12,10,0,7,24,30,19,0,74,5,7,7,0,0,1,0.17365269,198,0.0959596,0.37373737,0.25675676,0.17365269,0.26767677,0.35928144,0.62695821,0.18562875,2.607910939606902,0.23655914,-0.7068618107587099,16.3047421420805,-9.271248415590094,0.27778555166841756,63.750188307723164,0.23655914,0.65957447,0.21212121,0.31313131,0.47474747,0.08510638,0.14893617,0.52,0.31,0.17,0.18911917,289,483,772,"17278"
"Cole Tucker","PIT","AAA",25,10,37,42,5,4,1,0,0,5,4,5,0,12,0,0,0,1,1,0,0.13513514,42,0.11904762,0.28571429,0.41666667,0.13513514,0.23809524,0.16216216,0.4002574,0.02702702,5.750878874633892,0.2,0.13632066873833537,0.7993237173962289,-4.625886400897533,0.20262466158185685,14.733507089447395,0.2,1.33333333,0.125,0.5,0.375,0,0,0.44,0.16,0.4,0.09883721,59,113,172,"17326"
"Cole Tucker","ARI","CPX",25,4,12,13,2,2,0,0,0,2,0,1,0,3,0,0,0,0,1,0,0.16666667,13,0.07692308,0.23076923,0.33333333,0.16666667,0.23076923,0.16666667,0.3974359,0,7.0619652460748235,0.22222222,0.1910784044303,0.3510723468175357,-1.4369276705870206,0.20424716747724092,19.634918534684857,0.22222222,2.5,0.22222222,0.55555556,0.22222222,0,0,0.33333333,0.33333333,0.33333333,0.39130435,5,18,23,"17326"
"Cole Tucker","ARI","AAA",25,24,83,93,19,16,2,0,1,8,9,8,0,28,0,2,2,2,4,2,0.22891566,93,0.08602151,0.30107527,0.28571429,0.22891566,0.29032258,0.28915663,0.57947921,0.06024097,3.9944298867314805,0.32142857,-0.3353848196566105,6.303569546347661,-7.354814046615558,0.2662974416568715,46.15165113385197,0.32142857,1.26315789,0.23214286,0.42857143,0.33928571,0.21052632,0.05263158,0.36842105,0.22807018,0.40350877,0.11428571,121,229,350,"17326"
"Willi Castro","DET","AAA",25,8,34,36,9,7,2,0,0,2,1,2,0,10,0,0,0,0,3,1,0.26470588,36,0.05555556,0.27777778,0.2,0.26470588,0.30555556,0.32352941,0.62908497,0.05882353,4.4896010726335795,0.375,0.08417620090767741,3.2386864791027117,-1.4114936222919414,0.2868267612324821,69.6464740823992,0.375,1.375,0.17391304,0.47826087,0.34782609,0.375,0,0.45833333,0.20833333,0.33333333,0.12592593,40,95,135,"17338"
"Yermin Mercedes","SFG","AAA",29,9,34,40,10,8,0,0,2,5,5,5,0,8,0,1,1,0,0,0,0.29411765,40,0.125,0.2,0.625,0.29411765,0.375,0.47058824,0.84558824,0.17647059,0.9601648303571431,0.32,-0.05507496325299144,6.451732240568758,0.5771586521974804,0.36707078367471696,109.82469014159543,0.32,1.11111111,0.2962963,0.37037037,0.33333333,0.11111111,0.22222222,0.46428571,0.25,0.28571429,0.13043478,58,103,161,"17423"
"Yermin Mercedes","CHW","AAA",29,25,87,109,20,11,5,0,4,14,13,20,0,24,1,1,1,1,5,1,0.22988506,109,0.18348624,0.22018349,0.83333333,0.22988506,0.37614679,0.42528736,0.80143415,0.1954023,4.495073733714498,0.26666667,0.3214401304721832,16.745340953521062,2.6656289798539183,0.36240052137899836,118.93241129391967,0.26666667,0.5,0.31147541,0.2295082,0.45901639,0.14285714,0.14285714,0.40625,0.21875,0.375,0.14099783,191,270,461,"17423"
"Jose Siri","HOU","AAA",26,16,71,78,21,7,3,2,9,17,22,6,0,20,0,1,1,2,2,0,0.29577465,78,0.07692308,0.25641026,0.3,0.29577465,0.34615385,0.77464789,1.12080174,0.47887324,8.160136492286806,0.27906977,0.34492504270747304,17.81612436796415,6.360705870640161,0.43940041615412784,155.52573982457326,0.27906977,0.51851852,0.21153846,0.26923077,0.51923077,0.18518519,0.33333333,0.36538462,0.36538462,0.26923077,0.17915309,113,194,307,"17452"
"Kelvin Gutierrez","BAL","AAA",27,43,151,168,39,27,6,1,5,26,17,16,0,34,0,1,1,8,4,1,0.25827815,168,0.0952381,0.20238095,0.47058824,0.25827815,0.32738095,0.41059603,0.73797698,0.15231788,5.944858525269262,0.30088496,0.04360983008518815,21.035489687683313,-0.665350785491737,0.32866871463400976,96.93398609922876,0.30088496,1.62162162,0.14912281,0.52631579,0.3245614,0.16216216,0.13513514,0.48695652,0.30434783,0.20869565,0.13144759,218,383,601,"17468"
"Narciso Crook","CHC","AAA",26,77,278,311,76,38,17,3,18,52,58,26,0,90,7,0,0,3,11,5,0.27338129,311,0.08360129,0.28938907,0.28888889,0.27338129,0.35048232,0.55035971,0.90084203,0.27697842,6.888659060926274,0.34117647,-0.5630815285257995,54.5194938037228,14.347104594452327,0.3881327297143231,135.71384445100787,0.34117647,1.28333333,0.25543478,0.41847826,0.32608696,0.18333333,0.3,0.53439153,0.22751323,0.23809524,0.18227425,441,755,1196,"17473"
"Eloy Jimenez","CHW","AAA",25,17,57,63,14,12,0,0,2,8,7,6,0,12,0,0,0,5,0,0,0.24561404,63,0.0952381,0.19047619,0.5,0.24561404,0.31746032,0.35087719,0.66833751,0.10526315,1.601190455357143,0.27906977,-0.12735866848379374,6.636359835054458,-1.501455342386185,0.3050787789481027,81.54965049404827,0.27906977,1.69230769,0.20454545,0.5,0.29545455,0.23076923,0.15384615,0.53333333,0.31111111,0.15555556,0.12355212,94,165,259,"17484"
"JT Riddle","CIN","AAA",30,27,96,104,20,12,4,1,3,7,5,5,0,22,1,2,2,2,0,0,0.20833333,104,0.04807692,0.21153846,0.22727273,0.20833333,0.25,0.36458333,0.61458333,0.15625,2.404220767857143,0.23287671,-0.12735866848379374,7.716155955863515,-5.717697670387706,0.2681068262228599,57.43814225268393,0.23287671,1.34615385,0.16438356,0.47945205,0.35616438,0.11538462,0.11538462,0.36486486,0.28378378,0.35135135,0.12465374,122,239,361,"17642"
"JT Riddle","NYM","A",30,3,12,12,1,0,1,0,0,1,2,0,0,5,0,0,0,0,0,0,0.08333333,12,0,0.41666667,0,0.08333333,0.08333333,0.16666667,0.25,0.08333334,2.642857142857143,0.14285714,0,-0.5277759111400501,-1.9288587248798268,0.11101163427035014,-37.6691446047581,0.14285714,0.33333333,0.42857143,0.14285714,0.42857143,0.66666667,0,0.42857143,0.14285714,0.42857143,0.16666667,15,33,48,"17642"
"JT Riddle","NYM","AAA",30,30,114,120,27,15,8,1,3,18,10,5,0,26,1,0,0,4,0,0,0.23684211,120,0.04166667,0.21666667,0.19230769,0.23684211,0.275,0.40350877,0.67850877,0.16666666,4.142857142857143,0.28235294,-0.1485851132310927,11.840424404463224,-3.6601759335189534,0.2971623167395592,76.3868762905255,0.28235294,1.64285714,0.15909091,0.52272727,0.31818182,0.21428571,0.10714286,0.52272727,0.18181818,0.29545455,0.13392857,139,309,448,"17642"
"Vimael Machin","OAK","AAA",28,64,256,292,83,60,16,3,4,41,49,33,0,30,1,2,2,10,0,0,0.32421875,292,0.1130137,0.10273973,1.1,0.32421875,0.40068493,0.45703125,0.85771618,0.1328125,3.332589267857143,0.35267857,-0.39823434967547655,50.964891238296644,8.080504043186325,0.38134304076841435,118.84253121403509,0.35267857,1.94736842,0.25663717,0.49115044,0.25221239,0.1754386,0.07017544,0.35964912,0.19298246,0.44736842,0.04774775,443,667,1110,"17684"
"Kevin Newman","PIT","AAA",28,13,48,53,19,16,3,0,0,6,6,3,0,6,1,1,1,2,0,0,0.39583333,53,0.05660377,0.11320755,0.5,0.39583333,0.43396226,0.45833333,0.89229559,0.0625,1.222402580357143,0.44186047,-0.1415096316486597,9.848313919978235,3.00221543736944,0.4006130043065773,143.8529396706167,0.44186047,1.42857143,0.19047619,0.47619048,0.33333333,0.28571429,0,0.41860465,0.23255814,0.34883721,0.07881773,73,130,203,"17696"
"Matt Beaty","SDP","CPX",29,3,8,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9,0.11111111,0.11111111,1,0,0.11111111,0,0.11111111,0,0.142857142857143,0,-0.002973866183310747,-0.642127540980353,-1.8799737068758149,0.08434404929478963,-51.87458334257842,0,0.75,0,0.42857143,0.57142857,0.5,0,0.57142857,0,0.42857143,0,5,10,15,"17710"
"Matt Beaty","SDP","AAA",29,19,66,80,20,16,2,1,1,15,11,9,0,16,5,0,0,4,0,0,0.3030303,80,0.1125,0.2,0.5625,0.3030303,0.425,0.40909091,0.83409091,0.10606061,4.892857142857142,0.3877551,-0.12709606904536486,14.294736121310523,2.54558894456797,0.38581190928816794,121.66615930734925,0.3877551,2.54545455,0.22,0.56,0.22,0.18181818,0.09090909,0.34,0.2,0.46,0.05079365,122,193,315,"17710"
