idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
sa3011262-A-SFG,Najee Gaskins,SFG,24,A,40,0.057,0.275,0.031,0.125,0.656,0.381,0.25,0.375,0.281,1,0,1,0,0.238,0.571,0.19,18,2022-06-01
15878-AAA-NYY,Miguel Andujar,NYY,27,AAA,28,0.778,0.071,0.111,0.036,0.656,0.25,0.259,0.286,0.37,1,1,1,0,0.25,0.542,0.208,18,2022-06-01
sa3010712-AA-PHI,Vito Friscia,PHI,25,AA,31,0.369,0.226,0.167,0.194,0.656,0.167,0.167,0.323,0.333,2,1,0,0,0.556,0.222,0.167,18,2022-06-01
sa3008907-A-PIT,Rodolfo Nolasco,PIT,20,A,62,0.203,0.274,0.111,0.129,0.656,0.306,0.222,0.323,0.333,4,1,0,0,0.389,0.444,0.167,18,2022-06-01
sa917140-AAA-SDP,Eguy Rosario,SDP,22,AAA,59,0.16,0.203,0.065,0.203,0.655,0.294,0.217,0.373,0.283,3,0,4,1,0.235,0.588,0.147,18,2022-06-01
sa1169595-A+-ATL,Beau Philip,ATL,23,A+,48,0.193,0.354,0.136,0.062,0.655,0.32,0.227,0.292,0.364,2,2,2,0,0.32,0.44,0.2,18,2022-06-01
sa3006887-AA-NYM,Ronny Mauricio,NYM,21,AA,63,0.371,0.27,0.2,0.016,0.655,0.256,0.217,0.238,0.417,7,2,1,0,0.488,0.395,0.07,18,2022-06-01
sa3010042-A-SFG,Grant McCray,SFG,21,A,67,0.204,0.373,0.153,0.119,0.654,0.353,0.203,0.299,0.356,6,0,4,0,0.235,0.5,0.265,18,2022-06-01
sa3002831-AA-SEA,Tanner Kirwer,SEA,26,AA,37,0.058,0.297,0.034,0.162,0.654,0.35,0.241,0.378,0.276,1,0,2,0,0.35,0.4,0.2,18,2022-06-01
sa3018240-A-SDP,Michael Green,SDP,24,A,21,0.184,0.429,0.158,0.0,0.654,0.333,0.211,0.286,0.368,1,1,1,0,0.222,0.778,0.0,18,2022-06-01
15189-AAA-PHI,Dustin Peterson,PHI,27,AAA,53,0.079,0.396,0.062,0.075,0.654,0.448,0.271,0.321,0.333,3,0,0,0,0.345,0.345,0.31,18,2022-06-01
sa3010167-AA-CLE,Ike Freeman,CLE,24,AA,25,0.179,0.4,0.143,0.16,0.653,0.364,0.19,0.32,0.333,3,0,0,0,0.545,0.364,0.091,18,2022-06-01
