idlevel,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Date
12990-AAA,Erick Castillo,CHC,29,AAA,17,142.74908501640255,0.23529412,0.0,0.12727273,0.11764706,0.8277311,0.5,0.35714286,0.47058824,0.35714286,0.0,0,0,0,0,0,0.125,0.875,0.0,2022-05-26
13012-AAA,John Andreoli,PHI,32,AAA,128,80.31304237200264,0.359375,0.11340206,0.11036789,0.21875,0.60931108,0.26,0.15463918,0.34126984,0.26804124,0.08333333,2,3,1,6,1,0.47058824,0.31372549,0.21568627,2022-05-26
13151-AAA,Jose Briceno,KCR,29,AAA,6,82.01279726318496,0.16666667,0.0,0.20833333,0.0,0.66666666,0.4,0.33333333,0.33333333,0.33333333,0.0,0,0,0,0,0,0.8,0.0,0.2,2022-05-26
13167-AAA,Robel Garcia,CHC,29,AAA,138,194.50586553070016,0.3115942,0.39130435,0.13793103,0.15217391,1.14927536,0.41935484,0.33043478,0.42753623,0.72173913,0.48,12,7,1,0,1,0.35714286,0.3,0.34285714,2022-05-26
13324-AAA,Ildemaro Vargas,CHC,30,AAA,112,95.77813321023048,0.10714286,0.13461539,0.05072464,0.0625,0.73489011,0.30434783,0.27884615,0.32142857,0.41346154,0.03030303,1,3,4,1,0,0.35483871,0.41935484,0.22580645,2022-05-26
13329-AAA,Jake Lamb,LAD,31,AAA,163,128.77982516887764,0.24539877,0.26277373,0.11403509,0.13496933,0.92051409,0.30681818,0.27737226,0.3803681,0.54014599,0.28947368,11,3,0,0,1,0.38383838,0.37373737,0.24242424,2022-05-26
13355-AAA,Luke Maile,CLE,31,AAA,20,338.2456536588328,0.15,0.5,0.07792208,0.2,1.7125,0.63636364,0.5625,0.65,1.0625,0.4,2,2,0,0,0,0.38461538,0.30769231,0.30769231,2022-05-26
13369-AAA,Erik Gonzalez,MIA,30,AAA,103,154.8368973871129,0.19417476,0.13402062,0.1312336,0.04854369,0.94324893,0.48051948,0.39175258,0.41747573,0.5257732,0.04761905,1,8,1,4,1,0.27272727,0.54545455,0.18181818,2022-05-26
13472-AAA,Christian Lopes,OAK,29,AAA,136,43.54265362087525,0.25735294,0.05042017,0.12546816,0.08088235,0.53886555,0.27906977,0.20168067,0.28676471,0.25210084,0.0,0,6,0,3,1,0.43023256,0.27906977,0.29069767,2022-05-26
13473-AAA,Dwight Smith Jr.,CHW,29,AAA,60,71.94395682924299,0.21666667,0.09090909,0.12389381,0.08333333,0.62727273,0.29268293,0.23636364,0.3,0.32727273,0.09090909,1,2,0,0,0,0.26190476,0.54761905,0.19047619,2022-05-26
13546-AAA,Roman Quinn,PHI,29,AAA,25,209.59953732387729,0.16,0.35294117,0.12264151,0.32,1.16705882,0.33333333,0.29411765,0.52,0.64705882,0.1,1,3,0,0,1,0.83333333,0.0,0.16666667,2022-05-26
13593-AAA,Jose Peraza,NYY,28,AAA,111,72.65877288847805,0.11711712,0.11224489,0.08291457,0.07207207,0.63403199,0.23529412,0.2244898,0.2972973,0.33673469,0.04651163,2,5,0,1,1,0.5,0.29069767,0.20930233,2022-05-26
13607-AAA,Carl Edwards Jr.,WSN,30,AAA,0,-100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,,,,2022-05-26
13608-AAA,Mallex Smith,TOR,29,AAA,84,59.467265840412665,0.23809524,0.01408451,0.12883436,0.14285714,0.53269618,0.2745098,0.1971831,0.32142857,0.21126761,0.0,0,1,0,11,2,0.25531915,0.5106383,0.23404255,2022-05-26
13633-AAA,Preston Tucker,ATL,31,AAA,128,108.2251401815488,0.140625,0.13274336,0.09270217,0.0859375,0.7674917,0.31578947,0.28318584,0.3515625,0.4159292,0.07142857,2,9,0,0,0,0.28865979,0.48453608,0.22680412,2022-05-26
13663-AAA,Jack Lopez,DET,29,AAA,131,39.49274503674447,0.35877863,0.10483871,0.1889313,0.03816794,0.52915633,0.29333333,0.19354839,0.23076923,0.2983871,0.08333333,2,5,1,4,1,0.32,0.44,0.24,2022-05-26
13744-AAA,David Dahl,MIL,28,AAA,133,114.65863596930843,0.18796992,0.12820513,0.11134021,0.12030075,0.77867746,0.33707865,0.28205128,0.36842105,0.41025641,0.12,3,6,0,0,0,0.27777778,0.52222222,0.2,2022-05-26
13770-AAA,Rob Refsnyder,BOS,31,AAA,130,157.55541976943908,0.2,0.21153846,0.06896552,0.14615385,0.95,0.36842105,0.30769231,0.43076923,0.51923077,0.16666667,4,10,0,2,0,0.3,0.4375,0.2625,2022-05-26
13788-AAA,Matt Reynolds,NYM,31,AAA,21,42.57593686166432,0.23809524,0.17647059,0.12941176,0.14285714,0.53221289,0.08333333,0.11764706,0.23809524,0.29411765,0.2,1,0,0,0,0,0.38461538,0.46153846,0.15384615,2022-05-26
13795-AAA,Eric Stamets,TOR,30,AAA,81,91.0397164230008,0.25925926,0.13043479,0.08285714,0.11111111,0.68115942,0.2826087,0.2173913,0.33333333,0.34782609,0.09090909,2,3,0,3,0,0.48888889,0.26666667,0.24444444,2022-05-26
13836-AAA,Matt Duffy,LAA,31,AAA,9,118.43997883374404,0.22222222,0.42857143,0.03846154,0.11111111,0.9047619,0.0,0.14285714,0.33333333,0.57142857,1.0,1,0,0,0,0,0.2,0.6,0.2,2022-05-26
13897-AAA,Tyler Heineman,TOR,31,AAA,8,-40.526954806301305,0.5,0.0,0.17142857,0.0,0.25,0.25,0.125,0.125,0.125,0.0,0,0,0,0,0,0.25,0.5,0.25,2022-05-26
13910-AAA,Patrick Kivlehan,CHW,32,AAA,15,285.4794155034162,0.06666667,0.58333333,0.09090909,0.2,1.53333333,0.33333333,0.41666667,0.53333333,1.0,0.5,2,1,0,0,0,0.36363636,0.27272727,0.36363636,2022-05-26
14109-AAA,Albert Almora Jr.,CIN,28,AAA,55,125.20986182830174,0.03636364,0.07407407,0.05405405,0.01818182,0.82626262,0.38461538,0.37037037,0.38181818,0.44444444,0.0,0,4,0,0,0,0.3,0.44,0.26,2022-05-26
14131-AAA,Greg Bird,NYY,29,AAA,129,98.02024731048692,0.23255814,0.18691589,0.11900533,0.15503876,0.7165109,0.23287671,0.19626168,0.33333333,0.38317757,0.125,4,6,1,1,0,0.41558442,0.38961039,0.19480519,2022-05-26
14137-AAA,Tim Lopes,COL,28,AAA,165,97.80559904782407,0.18181818,0.14864865,0.11146497,0.07272727,0.78950423,0.34745763,0.2972973,0.34355828,0.44594595,0.07692308,3,9,2,7,2,0.325,0.38333333,0.29166667,2022-05-26
14145-AAA,Daniel Robertson,MIN,28,AAA,68,53.713138822509165,0.19117647,0.08333334,0.10917031,0.10294118,0.54607843,0.2173913,0.18333333,0.27941176,0.26666667,0.06666667,1,2,0,0,0,0.34883721,0.48837209,0.1627907,2022-05-26
14196-AAA,Andrew Velazquez,LAA,27,AAA,20,179.27834157182326,0.25,0.375,0.11956522,0.2,1.1375,0.4,0.3125,0.45,0.6875,0.5,1,3,0,2,0,0.18181818,0.63636364,0.18181818,2022-05-26
14320-AAA,Wilmer Difo,ARI,30,AAA,48,48.21315060207123,0.125,0.04651163,0.08522727,0.08333333,0.57073644,0.26315789,0.23255814,0.29166667,0.27906977,0.0,0,2,0,1,2,0.15789474,0.65789474,0.18421053,2022-05-26
14329-AAA,Anthony Alford,CLE,27,AAA,33,60.53052795624051,0.39393939,0.2,0.20588235,0.09090909,0.60909091,0.2,0.16666667,0.24242424,0.36666667,0.33333333,2,0,0,1,0,0.375,0.4375,0.1875,2022-05-26
14329-AAA,Anthony Alford,PIT,27,AAA,11,249.2775205282893,0.18181818,0.75,0.12962963,0.27272727,1.45454545,0.0,0.25,0.45454545,1.0,0.5,2,0,0,1,0,0.66666667,0.16666667,0.16666667,2022-05-26
14352-AAA,Lewis Brinson,HOU,28,AAA,128,101.30324903279175,0.2734375,0.24347826,0.15459883,0.0859375,0.81848682,0.30136986,0.25217391,0.32283465,0.49565217,0.20588235,7,5,1,3,1,0.43589744,0.41025641,0.15384615,2022-05-26
14388-AAA,Ronald Guzman,NYY,27,AAA,124,56.66089251267113,0.32258065,0.08571429,0.16441006,0.12903226,0.54746544,0.25,0.17142857,0.29032258,0.25714286,0.08695652,2,3,0,0,0,0.34848485,0.33333333,0.31818182,2022-05-26
14412-AAA,Joe Hudson,TBR,31,AAA,29,-0.5341670099976358,0.51724138,0.13793104,0.232,0.0,0.4137931,0.23076923,0.13793103,0.13793103,0.27586207,0.14285714,1,1,0,0,0,0.5,0.28571429,0.21428571,2022-05-26
14477-AAA,Jake Cave,MIN,29,AAA,148,86.37831495111065,0.27027027,0.12403101,0.1082391,0.12162162,0.67316153,0.31034483,0.2248062,0.32432432,0.34883721,0.1,2,6,2,6,0,0.24096386,0.51807229,0.24096386,2022-05-26
14553-AAA,Nomar Mazara,SDP,27,AAA,135,156.55842918311146,0.19259259,0.22522523,0.09451796,0.15555556,1.01201201,0.40243902,0.34234234,0.44444444,0.56756757,0.17241379,5,10,0,0,0,0.33333333,0.42528736,0.24137931,2022-05-26
14555-AAA,Wyatt Mathisen,SFG,28,AAA,57,54.8831686601967,0.31578947,0.20408163,0.10416667,0.12280702,0.63050483,0.17241379,0.16326531,0.26315789,0.36734694,0.17647059,3,1,0,0,0,0.53125,0.375,0.09375,2022-05-26
14567-AAA,Franchy Cordero,BOS,27,AAA,82,142.20461701740547,0.2804878,0.23943662,0.16981132,0.12195122,0.91326005,0.39130435,0.29577465,0.37804878,0.53521127,0.15,3,8,0,1,1,0.40816327,0.42857143,0.16326531,2022-05-26
14593-AAA,David Bote,CHC,29,AAA,22,72.74964898831261,0.18181818,0.05,0.1025641,0.09090909,0.61818182,0.3125,0.25,0.31818182,0.3,0.0,0,1,0,1,0,0.38461538,0.53846154,0.07692308,2022-05-26
14636-AAA,Webster Rivas,SDP,31,AAA,32,100.46269423277164,0.25,0.03846154,0.0610687,0.1875,0.71394231,0.38888889,0.26923077,0.40625,0.30769231,0.0,0,1,0,0,0,0.29411765,0.35294118,0.35294118,2022-05-26
14678-AAA,Tzu-Wei Lin,NYM,28,AAA,38,59.13719745739304,0.28947368,0.2,0.08391608,0.07894737,0.60827068,0.18181818,0.17142857,0.23684211,0.37142857,0.33333333,2,1,0,2,1,0.26086957,0.47826087,0.26086957,2022-05-26
14773-AAA,Yu Chang,CLE,26,AAA,24,66.72245982413578,0.20833333,0.05555555,0.08510638,0.20833333,0.55555555,0.21428571,0.16666667,0.33333333,0.22222222,0.0,0,1,0,0,0,0.42857143,0.5,0.07142857,2022-05-26
14811-AAA,Luke Voit,SDP,31,AAA,20,-71.80378719182752,0.6,0.0,0.26530612,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0,0,0,0,0,0.33333333,0.66666667,0.0,2022-05-26
14818-AAA,JaCoby Jones,KCR,30,AAA,104,48.71882679200194,0.42307692,0.11578948,0.15662651,0.06730769,0.55526316,0.32,0.18947368,0.25,0.30526316,0.08333333,2,5,0,1,0,0.47058824,0.33333333,0.19607843,2022-05-26
14885-AAA,Pat Valaika,ATL,29,AAA,143,117.6052273450534,0.17482517,0.20930232,0.11302682,0.08391608,0.82403643,0.3,0.27906977,0.33566434,0.48837209,0.15,6,9,0,1,1,0.38461538,0.36538462,0.25,2022-05-26
